file_name,num_relations,planning_time,execution_time,cost_dp,cost_geqo
10a.sql,7,-1,-1,46523.42,46503.55
10b.sql,7,-1,-1,43530.89,43482.52
10c.sql,7,-1,-1,585386.88,577460.73
11a.sql,8,-1,-1,3845.67,3845.68
11b.sql,8,-1,-1,3845.67,3845.68
11c.sql,8,-1,-1,4690.1,4690.12
11d.sql,8,-1,-1,4701.3,4702.94
12a.sql,8,-1,-1,16882.35,16881.21
12b.sql,8,-1,-1,19244.03,19241.76
12c.sql,8,-1,-1,18079.98,17643.65
13a.sql,9,-1,-1,20223.85,19776.84
13b.sql,9,-1,-1,19241.96,19241.99
13c.sql,9,-1,-1,19241.96,19241.99
13d.sql,9,-1,-1,21144.16,19956.68
14a.sql,8,-1,-1,7582.04,7581.96
14b.sql,8,-1,-1,4998.2,4998.2
14c.sql,8,-1,-1,7590.21,7589.75
15a.sql,9,-1,-1,49319.67,49316.65
15b.sql,9,-1,-1,6481.98,6479.36
15c.sql,9,-1,-1,273196.04,225428.66
15d.sql,9,-1,-1,243886.68,211507.78
16a.sql,8,-1,-1,3882.65,3859.94
16b.sql,8,-1,-1,5263.92,4196.56
16c.sql,8,-1,-1,4370.83,3980.13
16d.sql,8,-1,-1,4230.59,3899.15
17a.sql,7,-1,-1,4639.87,3987.74
17b.sql,7,-1,-1,4503.38,4136.92
17c.sql,7,-1,-1,4475.71,4129.79
17d.sql,7,-1,-1,4475.71,4129.79
17e.sql,7,-1,-1,4639.61,3987.7
17f.sql,7,-1,-1,4678.01,4172.5
18a.sql,7,-1,-1,49782.51,37911.09
18b.sql,7,-1,-1,17060.06,17059.09
18c.sql,7,-1,-1,32600.19,32590.05
19a.sql,10,-1,-1,84511.57,84509.75
19b.sql,10,-1,-1,55693.45,55693.45
19c.sql,10,-1,-1,190958.11,192087.02
19d.sql,10,-1,-1,204135.86,208455.62
1a.sql,5,-1,-1,19543.67,19543.67
1b.sql,5,-1,-1,20190.43,20167.49
1c.sql,5,-1,-1,19474.41,19474.41
1d.sql,5,-1,-1,21017.25,20973.85
20a.sql,10,-1,-1,12624.87,12627.92
20b.sql,10,-1,-1,12619.08,12620.02
20c.sql,10,-1,-1,14037.77,14037.68
21a.sql,9,-1,-1,3848.54,3848.55
21b.sql,9,-1,-1,3847.92,3847.93
21c.sql,9,-1,-1,3848.2,3848.24
22a.sql,11,-1,-1,7588.34,7588.09
22b.sql,11,-1,-1,7587.01,7586.81
22c.sql,11,-1,-1,7592.41,7591.96
22d.sql,11,-1,-1,7592.35,7591.89
23a.sql,11,-1,-1,59101.88,58128.48
23b.sql,11,-1,-1,7589.71,7586.4
23c.sql,11,-1,-1,72639.15,68202.56
24a.sql,12,-1,-1,6498.73,6498.43
24b.sql,12,-1,-1,6526.51,6526.1
25a.sql,9,-1,-1,8145.5,8146.36
25b.sql,9,-1,-1,8141.73,8141.73
25c.sql,9,-1,-1,9381.76,9381.6
26a.sql,12,-1,-1,10008.06,10069.91
26b.sql,12,-1,-1,7583.03,7589.09
26c.sql,12,-1,-1,10426.21,10983.9
27a.sql,12,-1,-1,1128.03,1669.83
27b.sql,12,-1,-1,1108.58,1279.12
27c.sql,12,-1,-1,902.03,2028.81
28a.sql,14,-1,-1,7596.49,7596.56
28b.sql,14,-1,-1,7588.46,7588.47
28c.sql,14,-1,-1,7592.2,7593.7
29a.sql,17,-1,-1,3990.33,3990.49
29b.sql,17,-1,-1,3990.54,3990.7
29c.sql,17,-1,-1,4016.22,4042.55
2a.sql,5,-1,-1,3929.29,3879.83
2b.sql,5,-1,-1,3926.79,3879.83
2c.sql,5,-1,-1,3926.29,3879.84
2d.sql,5,-1,-1,3942.88,3879.86
30a.sql,12,-1,-1,9386.92,9419.65
30b.sql,12,-1,-1,9386.02,9386.02
30c.sql,12,-1,-1,9387.35,9390.5
31a.sql,11,-1,-1,9627.69,9628.71
31b.sql,11,-1,-1,9631.75,9631.75
31c.sql,11,-1,-1,9628.67,9647.66
32a.sql,6,-1,-1,3892.32,3863.85
32b.sql,6,-1,-1,3892.32,3863.85
33a.sql,14,-1,-1,3169.45,3649.75
33b.sql,14,-1,-1,2367.38,2527.9
33c.sql,14,-1,-1,3205.01,3320.87
3a.sql,4,-1,-1,17248.85,17248.51
3b.sql,4,-1,-1,16892.86,16892.86
3c.sql,4,-1,-1,17512.43,17509.65
4a.sql,5,-1,-1,16763.23,16763.23
4b.sql,5,-1,-1,16379.35,16365.22
4c.sql,5,-1,-1,16772.49,16772.49
5a.sql,5,-1,-1,42237.13,42236.04
5b.sql,5,-1,-1,38879.68,38879.68
5c.sql,5,-1,-1,92608.3,92542.51
6a.sql,5,-1,-1,3941.34,3885.99
6b.sql,5,-1,-1,12598.52,12604.46
6c.sql,5,-1,-1,3846.17,3852.12
6d.sql,5,-1,-1,15438.21,13838.63
6e.sql,5,-1,-1,4199.87,4003.18
6f.sql,5,-1,-1,15466.29,13849.23
7a.sql,8,-1,-1,13303.01,10088.84
7b.sql,8,-1,-1,9029.34,8432.09
7c.sql,8,-1,-1,58378.05,58441.01
8a.sql,7,-1,-1,42728.86,42726.29
8b.sql,7,-1,-1,44801.98,44801.98
8c.sql,7,-1,-1,442968.0,456800.81
8d.sql,7,-1,-1,442968.0,456800.81
9a.sql,8,-1,-1,83408.9,83407.35
9b.sql,8,-1,-1,83396.93,83396.05
9c.sql,8,-1,-1,154641.79,153802.69
9d.sql,8,-1,-1,175539.94,162470.47
