aliases,cardinality
"('it', 'miidx')",12213
"('it', 'miidx', 't')",12213
"('it', 'kt', 'miidx', 't')",1745
"('it', 'kt', 'mc', 'miidx', 't')",1801
"('ct', 'it', 'kt', 'mc', 'miidx', 't')",450
"('cn', 'ct', 'it', 'kt', 'mc', 'miidx', 't')",19
"('it', 'miidx')",12213
"('it', 'miidx', 't')",12213
"('it', 'kt', 'miidx', 't')",1745
"('it', 'kt', 'mc', 'miidx', 't')",1801
"('cn', 'ct', 'it', 'kt', 'mc', 'mi', 'miidx', 't')",111
"('ct', 'it', 'kt', 'mc', 'miidx', 't')",450
"('it', 'miidx')",12213
"('it', 'miidx', 't')",12213
"('cn', 'ct', 'it', 'kt', 'mc', 'miidx', 't')",19
"('it', 'kt', 'miidx', 't')",1745
"('it', 'kt', 'mc', 'miidx', 't')",1801
"('ct', 'it', 'kt', 'mc', 'miidx', 't')",450
"('cn', 'ct', 'it', 'kt', 'mc', 'miidx', 't')",19
"('cn', 'ct', 'it', 'kt', 'mc', 'mi', 'miidx', 't')",111
"('cn', 'ct', 'it', 'it2', 'kt', 'mc', 'mi', 'miidx', 't')",1
"('cn', 'ct', 'it', 'kt', 'mc', 'mi', 'miidx', 't')",111
"('cn', 'ct', 'it', 'it2', 'kt', 'mc', 'mi', 'miidx', 't')",1
"('cn', 'ct', 'it', 'it2', 'kt', 'mc', 'mi', 'miidx', 't')",1
