aliases,cardinality
"('lt', 'ml')",5000
"('lt', 'ml')",5000
"('lt', 'ml')",5000
"('lt', 'ml', 't2')",2057
"('lt', 'ml', 't2')",2057
"('lt', 'ml', 't2')",2057
"('kt2', 'lt', 'ml', 't2')",588
"('kt2', 'lt', 'ml', 't2')",588
"('kt2', 'lt', 'ml', 't2')",588
"('lt', 'ml')",5000
"('lt', 'ml', 't2')",2057
"('kt2', 'lt', 'ml', 't2')",588
"('lt', 'ml')",5000
"('lt', 'ml', 't2')",2057
"('kt2', 'lt', 'ml', 't2')",588
"('lt', 'ml')",5000
"('lt', 'ml', 't2')",2057
"('kt2', 'lt', 'ml', 't2')",588
