aliases,cardinality
"('an1', 'n1')",18207
"('an1', 'n1')",18207
"('an1', 'ci', 'n1')",4954
"('an1', 'n1')",18207
"('an1', 'ci', 'n1')",4954
"('an1', 'ci', 'n1')",4954
"('an1', 'ci', 'mc', 'n1')",57
"('an1', 'ci', 'mc', 'n1')",57
"('an1', 'ci', 'mc', 'n1')",57
"('an1', 'n1')",18207
"('an1', 'ci', 'n1')",4954
"('an1', 'ci', 'mc', 'n1')",57
"('an1', 'n1')",18207
"('an1', 'ci', 'n1')",4954
"('an1', 'ci', 'mc', 'n1')",57
"('an1', 'n1')",18207
"('an1', 'ci', 'n1')",4954
"('an1', 'ci', 'mc', 'n1')",57
