aliases,cardinality
"('lt', 'ml')",1666
"('lt', 'ml')",1666
"('lt', 'mc', 'ml')",4338
"('lt', 'mc', 'ml')",4338
"('lt', 'ml')",1666
"('lt', 'mc', 'ml')",4338
"('lt', 'mc', 'mk', 'ml')",198390
"('lt', 'mc', 'mk', 'ml')",198390
"('lt', 'mc', 'mk', 'ml')",198390
"('lt', 'ml')",1666
"('lt', 'mc', 'ml')",4338
"('lt', 'mc', 'mk', 'ml')",198390
"('lt', 'ml')",1666
"('lt', 'mc', 'ml')",4338
"('lt', 'ml')",1666
"('lt', 'mc', 'ml')",4338
"('lt', 'mc', 'mk', 'ml')",198390
"('lt', 'mc', 'mk', 'ml')",198390
