aliases,cardinality
"('ci', 'mc')",78621
"('ci', 'mc')",78621
"('chn', 'ci', 'mc')",38409
"('chn', 'ci', 'mc')",38409
"('ci', 'mc')",78621
"('ci', 'mc')",78621
"('an', 'chn', 'ci', 'mc')",90661
"('ci', 'mc')",78621
"('chn', 'ci', 'mc')",38409
"('an', 'chn', 'ci', 'mc')",90661
"('chn', 'ci', 'mc')",38409
"('chn', 'ci', 'mc')",38409
"('an', 'chn', 'ci', 'mc')",90661
"('an', 'chn', 'ci', 'mc')",90661
"('an', 'chn', 'ci', 'mc')",90661
"('chn', 'ci', 'mc')",38409
"('an', 'chn', 'ci', 'mc')",90661
