order,cost_DP
"[['n', [[[[['cct1', [[[[[[[[['k', 'mk'], 'cc'], 't'], 'ci'], 'an'], 'mc'], 'chn'], 'cn'], 'cct2']], 'pi'], 'it3'], 'mi'], 'it']], 'rt']",4692
"[[['mi', [[['cct1', [[[[[[[[[['k', 'mk'], 't'], 'cc'], 'ci'], 'cct2'], 'an'], 'n'], 'mc'], 'cn'], 'chn']], 'pi'], 'it3']], 'it'], 'rt']",3177
"['rt', [[['chn', [[['cct1', [[[[[[[[['k', 'mk'], 't'], 'ci'], 'n'], 'mc'], 'cn'], 'an'], 'cc'], 'cct2']], 'pi'], 'it3']], 'mi'], 'it']]",3061
"[[[[[[[[[[[[[[[['k', 'mk'], 'cc'], 'cct2'], 'mi'], 'cct1'], 'ci'], 'rt'], 'chn'], 'pi'], 'it'], 'an'], 'it3'], 't'], 'mc'], 'cn'], 'n']",2954
"[[[[[[[[[[[[[[['k', 'mk'], 'cc'], 'cct2'], 'mi'], 'cct1'], 'ci'], 'rt'], 'chn'], 'pi'], 'it3'], 'an'], 'it'], ['t', 'mc']], 'cn'], 'n']",2327
"[[[[[[[[[[[[['k', 'mk'], 'cc'], 'mi'], 'cct2'], 'cct1'], 'it'], ['ci', 'chn']], 'an'], 'rt'], 'pi'], 'it3'], 'n'], [['t', 'mc'], 'cn']]",1383
"[['an', ['it', ['cn', [[[[[[[[[[[['k', 'mk'], 'cc'], 'cct2'], 'cct1'], 'ci'], 'rt'], 'chn'], 'pi'], 'mi'], 't'], 'it3'], 'mc']]]], 'n']",2155
"[[[['t', 'mc'], ['it', [[[[['mi', [[['n', ['k', [['ci', 'chn'], 'mk']]], 'cc'], 'cct2']], 'pi'], 'cct1'], 'it3'], 'an']]], 'rt'], 'cn']",2119
"['rt', ['it', [['an', [[['mi', [[[['n', [[[['k', 'mk'], ['t', 'mc']], 'cn'], 'ci']], 'cc'], 'cct2'], 'chn']], 'pi'], 'it3']], 'cct1']]]",1560
"[['an', [[['n', [[[[[[[[[[['k', 'mk'], 'cc'], 'cct2'], 'ci'], 'rt'], 'chn'], 'cct1'], 'mi'], 'pi'], 'it3'], 'it']], 'mc'], 'cn']], 't']",1670
"[[[[[[[[[[[[[[[['k', 'mk'], 'cc'], 'cct1'], 'cct2'], 'ci'], 'n'], 'rt'], 'mi'], 'chn'], 'pi'], 'an'], 'it3'], 't'], 'it'], 'mc'], 'cn']",2066
"[['mc', [[[[[[[[[[[[[['k', 'mk'], 'cc'], 'cct1'], 'cct2'], 't'], 'mi'], 'ci'], 'rt'], 'an'], 'n'], 'it'], 'pi'], 'it3'], 'chn']], 'cn']",1250
"[[[[[[[[[[[[['k', 'mk'], 'cc'], 'cct2'], 'mi'], 'it'], 'cct1'], ['ci', 'chn']], 'rt'], 'an'], 'n'], 'pi'], 'it3'], [['t', 'mc'], 'cn']]",1280
"['n', [[[[[[[[[['k', 'mk'], 'cc'], [['pi', ['t', [['chn', 'ci'], 'mi']]], 'rt']], 'it3'], 'an'], 'cct1'], 'cct2'], 'it'], 'mc'], 'cn']]",1204
"[[[[[[[[[[[[[[[['k', 'mk'], 'cc'], 'cct2'], 'cct1'], 'ci'], 'chn'], 'mi'], 'rt'], 'pi'], 'it3'], 'mc'], 'cn'], 'an'], 'it'], 'n'], 't']",1511
"[[[[[[[[[[[[[['k', 'mk'], 'cc'], 'cct2'], 'cct1'], ['ci', 'chn']], 'mi'], 'rt'], 'pi'], 'it3'], 'it'], 'an'], 'n'], ['t', 'mc']], 'cn']",909
"[[[[[[[[[[[[[['k', 'mk'], ['ci', 'chn']], 'mi'], 'cc'], 'cct2'], 'cct1'], 'it'], 'rt'], 'pi'], 'it3'], 'an'], ['t', 'mc']], 'cn'], 'n']",796
"[[[[[[[[[[[[[[['k', 'mk'], 'cc'], ['chn', 'ci']], 'cct2'], 'cct1'], 'rt'], 'pi'], 'it3'], 'mc'], 'cn'], 'mi'], 'n'], 'it'], 'an'], 't']",1058
"[['n', [[[[[[[[[[['k', 'mk'], 'cc'], 'cct2'], 'cct1'], ['chn', 'ci']], 'rt'], 'mi'], 'pi'], 'it3'], 'an'], 'it']], ['cn', ['t', 'mc']]]",853
"[['cn', [['it', [[[[[[[[[[[['k', 'mk'], 'cc'], 'cct2'], 'cct1'], 'mi'], 'ci'], 'rt'], 'chn'], 'pi'], 'it3'], 'an'], 't']], 'mc']], 'n']",2284
"[[[[[[[[[[[[[[[['k', 'mk'], 'cc'], 'cct2'], 'mi'], 'cct1'], 't'], 'it'], 'ci'], 'rt'], 'chn'], 'an'], 'pi'], 'it3'], 'mc'], 'cn'], 'n']",1257
"[[[[[[[[[[[[[[[['k', 'mk'], 'cc'], 'cct1'], 'cct2'], 't'], 'mi'], 'it'], 'ci'], 'n'], 'an'], 'pi'], 'it3'], 'rt'], 'mc'], 'cn'], 'chn']",1237
"[['an', [[['n', [[[[[[[[[[['k', 'mk'], 'cc'], 'cct2'], 'cct1'], 'ci'], 'rt'], 'chn'], 'mi'], 'it'], 'pi'], 'it3']], 'mc'], 'cn']], 't']",1657
"['rt', ['it', ['an', ['cn', [[[[['mi', [[[['n', [[['k', 'mk'], 't'], 'ci']], 'cc'], 'cct2'], 'chn']], 'pi'], 'it3'], 'cct1'], 'mc']]]]]",695
"[[[[[[[[[[[[[[[['k', 'mk'], 'mi'], 't'], 'cc'], 'cct1'], 'cct2'], 'it'], 'ci'], 'n'], 'pi'], 'it3'], 'an'], 'chn'], 'mc'], 'cn'], 'rt']",1009
"[[[[[[[[[[[['k', 'mk'], 'cc'], 'cct1'], 'cct2'], ['ci', 'chn']], 'pi'], 'it3'], 'rt'], 'an'], 'n'], [[['t', 'mi'], 'mc'], 'cn']], 'it']",1100
