order,cost_DP
"['it', ['mi', ['t', ['ct', 'mc']]]]",0
"['t', ['it', ['mi', ['mc', 'ct']]]]",0
"[['it', [['mc', 'ct'], 'mi']], 't']",0
"[['mi', ['t', ['mc', 'ct']]], 'it']",0
"['it', [[['mc', 'ct'], 't'], 'mi']]",0
"[[[['mc', 'ct'], 'mi'], 't'], 'it']",0
"['it', ['t', ['mi', ['ct', 'mc']]]]",0
"[['it', ['mi', ['ct', 'mc']]], 't']",0
"['t', [['mi', ['ct', 'mc']], 'it']]",0
"['t', ['it', ['mi', ['ct', 'mc']]]]",0
"['t', [['mi', ['ct', 'mc']], 'it']]",0
"['it', [[['mc', 'ct'], 't'], 'mi']]",0
"[['mi', ['t', ['mc', 'ct']]], 'it']",0
"['t', ['it', ['mi', ['mc', 'ct']]]]",0
"[['it', [['mc', 'ct'], 'mi']], 't']",0
"[['it', ['mi', ['mc', 'ct']]], 't']",0
"[['it', [['ct', 'mc'], 'mi']], 't']",0
"['t', [[['ct', 'mc'], 'mi'], 'it']]",0
"['it', [['mi', ['ct', 'mc']], 't']]",0
"['t', ['it', ['mi', ['ct', 'mc']]]]",0
