table_left,alias_left,attr_left,table_right,alias_right,attr_right,selectivity
title,t,id,movie_info,mi,movie_id,3.955208059764776e-07
title,t,id,movie_info,mi,movie_id,3.955208059764776e-07
title,t,id,movie_info,mi,movie_id,3.955208059764776e-07
title,t,id,movie_info_idx,mi_idx,movie_id,3.955208059764776e-07
title,t,id,movie_info_idx,mi_idx,movie_id,3.955208059764776e-07
title,t,id,movie_info_idx,mi_idx,movie_id,3.955208059764776e-07
title,t,id,cast_info,ci,movie_id,3.955208059764776e-07
title,t,id,cast_info,ci,movie_id,3.955208059764776e-07
title,t,id,cast_info,ci,movie_id,3.955208059764776e-07
title,t,id,cast_info,ci,movie_id,3.955208059764776e-07
title,t,id,cast_info,ci,movie_id,3.955208059764776e-07
title,t,id,cast_info,ci,movie_id,3.955208059764776e-07
cast_info,ci,movie_id,movie_info,mi,movie_id,8.563264004127154e-07
cast_info,ci,movie_id,movie_info,mi,movie_id,8.563264004127154e-07
title,t,id,cast_info,ci,movie_id,3.955208059764776e-07
cast_info,ci,movie_id,movie_info,mi,movie_id,8.563264004127154e-07
cast_info,ci,movie_id,movie_info_idx,mi_idx,movie_id,8.179327856893477e-07
cast_info,ci,movie_id,movie_info_idx,mi_idx,movie_id,8.179327856893477e-07
movie_info,mi,movie_id,movie_info_idx,mi_idx,movie_id,1.0200850302192726e-06
movie_info,mi,movie_id,movie_info_idx,mi_idx,movie_id,1.0200850302192726e-06
name,n,id,cast_info,ci,person_id,2.4000936996580346e-07
name,n,id,cast_info,ci,person_id,2.4000936996580346e-07
info_type,it1,id,movie_info,mi,info_type_id,0.008849557522123894
info_type,it1,id,movie_info,mi,info_type_id,0.008849557522123894
info_type,it2,id,movie_info_idx,mi_idx,info_type_id,0.008849557522123894
info_type,it2,id,movie_info_idx,mi_idx,info_type_id,0.008849557522123894
cast_info,ci,movie_id,movie_info_idx,mi_idx,movie_id,8.179327856893477e-07
cast_info,ci,movie_id,movie_info,mi,movie_id,8.563264004127154e-07
cast_info,ci,movie_id,movie_info,mi,movie_id,8.563264004127154e-07
movie_info,mi,movie_id,movie_info_idx,mi_idx,movie_id,1.0200850302192726e-06
cast_info,ci,movie_id,movie_info_idx,mi_idx,movie_id,8.179327856893477e-07
cast_info,ci,movie_id,movie_info_idx,mi_idx,movie_id,8.179327856893477e-07
movie_info,mi,movie_id,movie_info_idx,mi_idx,movie_id,1.0200850302192726e-06
movie_info,mi,movie_id,movie_info_idx,mi_idx,movie_id,1.0200850302192726e-06
cast_info,ci,movie_id,movie_info,mi,movie_id,8.563264004127154e-07
name,n,id,cast_info,ci,person_id,2.4000936996580346e-07
name,n,id,cast_info,ci,person_id,2.4000936996580346e-07
name,n,id,cast_info,ci,person_id,2.4000936996580346e-07
info_type,it1,id,movie_info,mi,info_type_id,0.008849557522123894
info_type,it2,id,movie_info_idx,mi_idx,info_type_id,0.008849557522123894
info_type,it1,id,movie_info,mi,info_type_id,0.008849557522123894
info_type,it2,id,movie_info_idx,mi_idx,info_type_id,0.008849557522123894
info_type,it1,id,movie_info,mi,info_type_id,0.008849557522123894
info_type,it2,id,movie_info_idx,mi_idx,info_type_id,0.008849557522123894
cast_info,ci,movie_id,movie_info,mi,movie_id,8.563264004127154e-07
cast_info,ci,movie_id,movie_info,mi,movie_id,8.563264004127154e-07
cast_info,ci,movie_id,movie_info,mi,movie_id,8.563264004127154e-07
cast_info,ci,movie_id,movie_info,mi,movie_id,8.563264004127154e-07
cast_info,ci,movie_id,movie_info,mi,movie_id,8.563264004127154e-07
cast_info,ci,movie_id,movie_info_idx,mi_idx,movie_id,8.179327856893477e-07
cast_info,ci,movie_id,movie_info,mi,movie_id,8.563264004127154e-07
movie_info,mi,movie_id,movie_info_idx,mi_idx,movie_id,1.0200850302192726e-06
cast_info,ci,movie_id,movie_info_idx,mi_idx,movie_id,8.179327856893477e-07
cast_info,ci,movie_id,movie_info_idx,mi_idx,movie_id,8.179327856893477e-07
name,n,id,cast_info,ci,person_id,2.4000936996580346e-07
cast_info,ci,movie_id,movie_info_idx,mi_idx,movie_id,8.179327856893477e-07
info_type,it1,id,movie_info,mi,info_type_id,0.008849557522123894
info_type,it2,id,movie_info_idx,mi_idx,info_type_id,0.008849557522123894
movie_info,mi,movie_id,movie_info_idx,mi_idx,movie_id,1.0200850302192726e-06
cast_info,ci,movie_id,movie_info_idx,mi_idx,movie_id,8.179327856893477e-07
cast_info,ci,movie_id,movie_info_idx,mi_idx,movie_id,8.179327856893477e-07
movie_info,mi,movie_id,movie_info_idx,mi_idx,movie_id,1.0200850302192726e-06
movie_info,mi,movie_id,movie_info_idx,mi_idx,movie_id,1.0200850302192726e-06
movie_info,mi,movie_id,movie_info_idx,mi_idx,movie_id,1.0200850302192726e-06
movie_info,mi,movie_id,movie_info_idx,mi_idx,movie_id,1.0200850302192726e-06
cast_info,ci,movie_id,movie_info_idx,mi_idx,movie_id,8.179327856893477e-07
name,n,id,cast_info,ci,person_id,2.4000936996580346e-07
movie_info,mi,movie_id,movie_info_idx,mi_idx,movie_id,1.0200850302192726e-06
info_type,it1,id,movie_info,mi,info_type_id,0.008849557522123894
info_type,it2,id,movie_info_idx,mi_idx,info_type_id,0.008849557522123894
name,n,id,cast_info,ci,person_id,2.4000936996580346e-07
info_type,it1,id,movie_info,mi,info_type_id,0.008849557522123894
name,n,id,cast_info,ci,person_id,2.4000936996580346e-07
info_type,it2,id,movie_info_idx,mi_idx,info_type_id,0.008849557522123894
name,n,id,cast_info,ci,person_id,2.4000936996580346e-07
name,n,id,cast_info,ci,person_id,2.4000936996580346e-07
name,n,id,cast_info,ci,person_id,2.4000936996580346e-07
info_type,it1,id,movie_info,mi,info_type_id,0.008849557522123894
info_type,it2,id,movie_info_idx,mi_idx,info_type_id,0.008849557522123894
info_type,it1,id,movie_info,mi,info_type_id,0.008849557522123894
info_type,it1,id,movie_info,mi,info_type_id,0.008849557522123894
info_type,it2,id,movie_info_idx,mi_idx,info_type_id,0.008849557522123894
info_type,it2,id,movie_info_idx,mi_idx,info_type_id,0.008849557522123894
info_type,it1,id,movie_info,mi,info_type_id,0.008849557522123894
info_type,it2,id,movie_info_idx,mi_idx,info_type_id,0.008849557522123894
