table_left,alias_left,attr_left,table_right,alias_right,attr_right,selectivity
link_type,lt,id,movie_link,ml,link_type_id,0.05555555555555555
title,t1,id,movie_link,ml,movie_id,3.955208059764776e-07
title,t2,id,movie_link,ml,linked_movie_id,3.955208059764776e-07
info_type,it1,id,movie_info_idx,mi_idx1,info_type_id,0.008849557522123894
info_type,it1,id,movie_info_idx,mi_idx1,info_type_id,0.008849557522123894
title,t1,id,movie_info_idx,mi_idx1,movie_id,3.955208059764776e-07
kind_type,kt1,id,title,t1,kind_id,0.14285714285714285
company_name,cn1,id,movie_companies,mc1,company_id,4.255373472852845e-06
company_name,cn1,id,movie_companies,mc1,company_id,4.255373472852845e-06
title,t1,id,movie_info_idx,mi_idx1,movie_id,3.955208059764776e-07
title,t1,id,movie_companies,mc1,movie_id,3.955208059764776e-07
movie_link,ml,movie_id,movie_info_idx,mi_idx1,movie_id,1.51388111235736e-06
movie_link,ml,movie_id,movie_companies,mc1,movie_id,1.8924554641452904e-06
title,t1,id,movie_companies,mc1,movie_id,3.955208059764776e-07
movie_link,ml,movie_id,movie_info_idx,mi_idx1,movie_id,1.51388111235736e-06
movie_link,ml,movie_id,movie_companies,mc1,movie_id,1.8924554641452904e-06
kind_type,kt1,id,title,t1,kind_id,0.14285714285714285
movie_info_idx,mi_idx1,movie_id,movie_companies,mc1,movie_id,1.131193950919584e-06
movie_info_idx,mi_idx1,movie_id,movie_companies,mc1,movie_id,1.131193950919584e-06
info_type,it2,id,movie_info_idx,mi_idx2,info_type_id,0.008849557522123894
info_type,it2,id,movie_info_idx,mi_idx2,info_type_id,0.008849557522123894
company_name,cn1,id,movie_companies,mc1,company_id,4.255373472852845e-06
title,t2,id,movie_info_idx,mi_idx2,movie_id,3.955208059764776e-07
title,t2,id,movie_info_idx,mi_idx2,movie_id,3.955208059764776e-07
kind_type,kt2,id,title,t2,kind_id,0.14285714285714285
kind_type,kt2,id,title,t2,kind_id,0.14285714285714285
title,t1,id,movie_companies,mc1,movie_id,3.955208059764776e-07
movie_link,ml,movie_id,movie_info_idx,mi_idx1,movie_id,1.51388111235736e-06
movie_link,ml,movie_id,movie_companies,mc1,movie_id,1.8924554641452904e-06
company_name,cn2,id,movie_companies,mc2,company_id,4.255373472852845e-06
company_name,cn2,id,movie_companies,mc2,company_id,4.255373472852845e-06
movie_info_idx,mi_idx1,movie_id,movie_companies,mc1,movie_id,1.131193950919584e-06
info_type,it2,id,movie_info_idx,mi_idx2,info_type_id,0.008849557522123894
title,t2,id,movie_companies,mc2,movie_id,3.955208059764776e-07
title,t2,id,movie_companies,mc2,movie_id,3.955208059764776e-07
movie_link,ml,linked_movie_id,movie_info_idx,mi_idx2,movie_id,1.895431330479021e-06
movie_link,ml,linked_movie_id,movie_info_idx,mi_idx2,movie_id,1.895431330479021e-06
movie_link,ml,linked_movie_id,movie_companies,mc2,movie_id,4.451649634603201e-06
movie_link,ml,linked_movie_id,movie_companies,mc2,movie_id,4.451649634603201e-06
title,t1,id,movie_companies,mc1,movie_id,3.955208059764776e-07
movie_link,ml,movie_id,movie_info_idx,mi_idx1,movie_id,1.51388111235736e-06
movie_link,ml,movie_id,movie_companies,mc1,movie_id,1.8924554641452904e-06
movie_info_idx,mi_idx1,movie_id,movie_companies,mc1,movie_id,1.131193950919584e-06
info_type,it2,id,movie_info_idx,mi_idx2,info_type_id,0.008849557522123894
movie_info_idx,mi_idx2,movie_id,movie_companies,mc2,movie_id,1.131193950919584e-06
movie_info_idx,mi_idx2,movie_id,movie_companies,mc2,movie_id,1.131193950919584e-06
title,t2,id,movie_info_idx,mi_idx2,movie_id,3.955208059764776e-07
kind_type,kt2,id,title,t2,kind_id,0.14285714285714285
company_name,cn2,id,movie_companies,mc2,company_id,4.255373472852845e-06
title,t2,id,movie_info_idx,mi_idx2,movie_id,3.955208059764776e-07
movie_info_idx,mi_idx1,movie_id,movie_companies,mc1,movie_id,1.131193950919584e-06
kind_type,kt2,id,title,t2,kind_id,0.14285714285714285
title,t2,id,movie_companies,mc2,movie_id,3.955208059764776e-07
info_type,it2,id,movie_info_idx,mi_idx2,info_type_id,0.008849557522123894
movie_link,ml,linked_movie_id,movie_info_idx,mi_idx2,movie_id,1.895431330479021e-06
movie_link,ml,linked_movie_id,movie_companies,mc2,movie_id,4.451649634603201e-06
title,t2,id,movie_info_idx,mi_idx2,movie_id,3.955208059764776e-07
company_name,cn2,id,movie_companies,mc2,company_id,4.255373472852845e-06
kind_type,kt2,id,title,t2,kind_id,0.14285714285714285
company_name,cn2,id,movie_companies,mc2,company_id,4.255373472852845e-06
title,t2,id,movie_companies,mc2,movie_id,3.955208059764776e-07
movie_link,ml,linked_movie_id,movie_info_idx,mi_idx2,movie_id,1.895431330479021e-06
movie_link,ml,linked_movie_id,movie_companies,mc2,movie_id,4.451649634603201e-06
movie_info_idx,mi_idx2,movie_id,movie_companies,mc2,movie_id,1.131193950919584e-06
movie_info_idx,mi_idx2,movie_id,movie_companies,mc2,movie_id,1.131193950919584e-06
title,t2,id,movie_companies,mc2,movie_id,3.955208059764776e-07
movie_link,ml,linked_movie_id,movie_info_idx,mi_idx2,movie_id,1.895431330479021e-06
movie_link,ml,linked_movie_id,movie_companies,mc2,movie_id,4.451649634603201e-06
movie_info_idx,mi_idx2,movie_id,movie_companies,mc2,movie_id,1.131193950919584e-06
