order,cost_DP
"['n', ['rt', [[[[['cct1', [[[[[[[[['k', 'mk'], 't'], 'mc'], 'cc'], 'cn'], 'cct2'], 'ci'], 'an'], 'chn']], 'pi'], 'it3'], 'mi'], 'it']]]",10754
"['it3', ['pi', ['rt', [[[[[[[[[[[[['k', 'mk'], 't'], 'ci'], 'an'], 'n'], 'cc'], 'cct2'], 'mc'], 'cn'], 'mi'], 'it'], 'cct1'], 'chn']]]]",7269
"[[[[[[[[[[[[[[[['k', 'mk'], 'cc'], 'cct1'], 'cct2'], 'ci'], 'rt'], 'chn'], 'mi'], 'mc'], 'it'], 'cn'], 't'], 'an'], 'n'], 'pi'], 'it3']",8162
"[[[[[[[[[[[[[[[['k', 'mk'], 't'], 'cc'], 'cct1'], 'mc'], 'cct2'], 'ci'], 'an'], 'cn'], 'chn'], 'mi'], 'it'], 'pi'], 'it3'], 'n'], 'rt']",12904
"[[[[[[[[[[[['k', 'mk'], 'cc'], 'cct2'], ['ci', 'chn']], 'pi'], 'it3'], 'an'], 'cct1'], 'rt'], 'n'], [[['t', 'mi'], 'mc'], 'cn']], 'it']",5980
"[[[[[[[[[[[[['k', 'mk'], 'cc'], 'mi'], 'cct2'], 'it'], 'cct1'], ['ci', 'chn']], 'an'], 'rt'], 'pi'], 'it3'], 'n'], [['t', 'mc'], 'cn']]",4269
"['it3', [[[[[[[[[[[[[[['k', 'mk'], 't'], 'cc'], 'mi'], 'it'], 'ci'], 'n'], 'cct2'], 'an'], 'chn'], 'cct1'], 'mc'], 'cn'], 'rt'], 'pi']]",7220
"[['n', [[[[[[[[[[[['k', 'mk'], 'cc'], 'cct2'], 'cct1'], 'mi'], 'ci'], 'chn'], 'rt'], 'pi'], 'it3'], 'it'], 'an']], ['cn', ['t', 'mc']]]",5338
"['it3', ['pi', [['mc', [[[[[[[[[[[['k', 'mk'], 't'], 'cc'], 'cct2'], 'mi'], 'it'], 'ci'], 'n'], 'rt'], 'an'], 'cct1'], 'chn']], 'cn']]]",7191
"[[[['it', ['mi', [[[[[['k', 'mk'], 'cc'], 'cct2'], 'mc'], 'cn'], 'cct1']]], [[['t', ['rt', ['chn', 'ci']]], 'pi'], 'it3']], 'an'], 'n']",6227
"[['an', [[[[[[[['n', [[[[[['k', 'mk'], 'cc'], 'cct2'], 'ci'], 'rt'], 'chn']], 'mi'], 'it'], 'mc'], 'cn'], 'cct1'], 'pi'], 'it3']], 't']",6923
"[[[[[[[[[[[['k', 'mk'], 'cc'], 'cct2'], 'cct1'], 'ci'], 'chn'], 'rt'], 'an'], 'n'], 'pi'], 'it3'], ['it', [[['t', 'mi'], 'mc'], 'cn']]]",4268
"[[[[[[[[[[[[['k', 'mk'], 'cc'], 'mi'], 'cct2'], 'it'], ['ci', 'chn']], 'n'], 'an'], 'rt'], 'pi'], 'it3'], 'cct1'], [['t', 'mc'], 'cn']]",4208
