order,cost_DP
"['ct', ['it', ['mi', ['mc', 't']]]]",0
"[[['mi', ['mc', 't']], 'it'], 'ct']",0
"[['it', ['mi', ['mc', 'ct']]], 't']",0
"['t', [[['ct', 'mc'], 'mi'], 'it']]",0
"['it', [['mi', ['ct', 'mc']], 't']]",0
"['it', ['t', ['mi', ['ct', 'mc']]]]",0
"['it', ['t', ['mi', ['ct', 'mc']]]]",0
"[[[['ct', 'mc'], 'mi'], 't'], 'it']",0
"['it', ['mi', [['t', 'mc'], 'ct']]]",0
"['it', ['mi', ['t', ['ct', 'mc']]]]",0
"['t', [[['ct', 'mc'], 'mi'], 'it']]",0
"[[['mi', ['mc', 't']], 'it'], 'ct']",0
"[['it', ['mi', ['mc', 'ct']]], 't']",0
"['it', [['t', ['mc', 'ct']], 'mi']]",0
"['ct', [[['mc', 't'], 'mi'], 'it']]",0
"['t', ['it', [['ct', 'mc'], 'mi']]]",0
"[[['mi', ['mc', 't']], 'ct'], 'it']",0
"['it', ['mi', ['ct', ['mc', 't']]]]",0
"['t', ['it', ['mi', ['ct', 'mc']]]]",0
"['t', ['it', [['ct', 'mc'], 'mi']]]",0
"['it', [['mi', ['mc', 't']], 'ct']]",0
