table_left,alias_left,attr_left,table_right,alias_right,attr_right,selectivity
name,n,id,aka_name,an,person_id,2.4000936996580346e-07
name,n,id,person_info,pi,person_id,2.4000936996580346e-07
cast_info,ci,person_id,name,n,id,2.4000936996580346e-07
title,t,id,cast_info,ci,movie_id,3.955208059764776e-07
movie_link,ml,linked_movie_id,title,t,id,3.955208059764776e-07
link_type,lt,id,movie_link,ml,link_type_id,0.05555555555555555
info_type,it,id,person_info,pi,info_type_id,0.008849557522123894
person_info,pi,person_id,aka_name,an,person_id,1.6981165338636873e-06
title,t,id,cast_info,ci,movie_id,3.955208059764776e-07
movie_link,ml,linked_movie_id,title,t,id,3.955208059764776e-07
link_type,lt,id,movie_link,ml,link_type_id,0.05555555555555555
info_type,it,id,person_info,pi,info_type_id,0.008849557522123894
person_info,pi,person_id,aka_name,an,person_id,1.6981165338636873e-06
title,t,id,cast_info,ci,movie_id,3.955208059764776e-07
movie_link,ml,linked_movie_id,title,t,id,3.955208059764776e-07
link_type,lt,id,movie_link,ml,link_type_id,0.05555555555555555
cast_info,ci,person_id,name,n,id,2.4000936996580346e-07
info_type,it,id,person_info,pi,info_type_id,0.008849557522123894
person_info,pi,person_id,aka_name,an,person_id,1.6981165338636873e-06
cast_info,ci,person_id,name,n,id,2.4000936996580346e-07
title,t,id,cast_info,ci,movie_id,3.955208059764776e-07
movie_link,ml,linked_movie_id,title,t,id,3.955208059764776e-07
link_type,lt,id,movie_link,ml,link_type_id,0.05555555555555555
info_type,it,id,person_info,pi,info_type_id,0.008849557522123894
person_info,pi,person_id,aka_name,an,person_id,1.6981165338636873e-06
title,t,id,cast_info,ci,movie_id,3.955208059764776e-07
movie_link,ml,linked_movie_id,title,t,id,3.955208059764776e-07
link_type,lt,id,movie_link,ml,link_type_id,0.05555555555555555
info_type,it,id,person_info,pi,info_type_id,0.008849557522123894
person_info,pi,person_id,aka_name,an,person_id,1.6981165338636873e-06
person_info,pi,person_id,cast_info,ci,person_id,2.533702765607523e-06
person_info,pi,person_id,cast_info,ci,person_id,2.533702765607523e-06
aka_name,an,person_id,cast_info,ci,person_id,1.114755725094402e-06
cast_info,ci,movie_id,movie_link,ml,linked_movie_id,1.6974736540567963e-06
person_info,pi,person_id,cast_info,ci,person_id,2.533702765607523e-06
aka_name,an,person_id,cast_info,ci,person_id,1.114755725094402e-06
cast_info,ci,movie_id,movie_link,ml,linked_movie_id,1.6974736540567963e-06
aka_name,an,person_id,cast_info,ci,person_id,1.114755725094402e-06
cast_info,ci,movie_id,movie_link,ml,linked_movie_id,1.6974736540567963e-06
person_info,pi,person_id,cast_info,ci,person_id,2.533702765607523e-06
title,t,id,cast_info,ci,movie_id,3.955208059764776e-07
movie_link,ml,linked_movie_id,title,t,id,3.955208059764776e-07
link_type,lt,id,movie_link,ml,link_type_id,0.05555555555555555
info_type,it,id,person_info,pi,info_type_id,0.008849557522123894
person_info,pi,person_id,aka_name,an,person_id,1.6981165338636873e-06
title,t,id,cast_info,ci,movie_id,3.955208059764776e-07
movie_link,ml,linked_movie_id,title,t,id,3.955208059764776e-07
link_type,lt,id,movie_link,ml,link_type_id,0.05555555555555555
info_type,it,id,person_info,pi,info_type_id,0.008849557522123894
aka_name,an,person_id,cast_info,ci,person_id,1.114755725094402e-06
cast_info,ci,movie_id,movie_link,ml,linked_movie_id,1.6974736540567963e-06
person_info,pi,person_id,aka_name,an,person_id,1.6981165338636873e-06
person_info,pi,person_id,cast_info,ci,person_id,2.533702765607523e-06
person_info,pi,person_id,cast_info,ci,person_id,2.533702765607523e-06
aka_name,an,person_id,cast_info,ci,person_id,1.114755725094402e-06
cast_info,ci,movie_id,movie_link,ml,linked_movie_id,1.6974736540567963e-06
person_info,pi,person_id,cast_info,ci,person_id,2.533702765607523e-06
person_info,pi,person_id,cast_info,ci,person_id,2.533702765607523e-06
aka_name,an,person_id,cast_info,ci,person_id,1.114755725094402e-06
cast_info,ci,movie_id,movie_link,ml,linked_movie_id,1.6974736540567963e-06
aka_name,an,person_id,cast_info,ci,person_id,1.114755725094402e-06
cast_info,ci,movie_id,movie_link,ml,linked_movie_id,1.6974736540567963e-06
aka_name,an,person_id,cast_info,ci,person_id,1.114755725094402e-06
cast_info,ci,movie_id,movie_link,ml,linked_movie_id,1.6974736540567963e-06
person_info,pi,person_id,cast_info,ci,person_id,2.533702765607523e-06
aka_name,an,person_id,cast_info,ci,person_id,1.114755725094402e-06
cast_info,ci,movie_id,movie_link,ml,linked_movie_id,1.6974736540567963e-06
