table_left,alias_left,attr_left,table_right,alias_right,attr_right,selectivity
title,t,id,movie_info,mi,movie_id,3.955208059764776e-07
title,t,id,movie_info_idx,mi_idx,movie_id,3.955208059764776e-07
movie_info,mi,info_type_id,info_type,it1,id,0.008849557522123894
movie_info_idx,mi_idx,info_type_id,info_type,it2,id,0.008849557522123894
title,t,id,movie_companies,mc,movie_id,3.955208059764776e-07
company_type,ct,id,movie_companies,mc,company_type_id,0.25
company_name,cn,id,movie_companies,mc,company_id,4.255373472852845e-06
movie_companies,mc,movie_id,movie_info,mi,movie_id,1.740489799746287e-06
movie_companies,mc,movie_id,movie_info_idx,mi_idx,movie_id,1.131193950919584e-06
movie_info,mi,movie_id,movie_info_idx,mi_idx,movie_id,1.0200850302192726e-06
