table_left,alias_left,attr_left,table_right,alias_right,attr_right,selectivity
link_type,lt,id,movie_link,ml,link_type_id,0.05555555555555555
movie_link,ml,movie_id,title,t,id,3.955208059764776e-07
title,t,id,movie_keyword,mk,movie_id,3.955208059764776e-07
movie_keyword,mk,keyword_id,keyword,k,id,7.453230975627935e-06
title,t,id,movie_companies,mc,movie_id,3.955208059764776e-07
movie_companies,mc,company_type_id,company_type,ct,id,0.25
movie_companies,mc,company_id,company_name,cn,id,4.255373472852845e-06
movie_info,mi,movie_id,title,t,id,3.955208059764776e-07
title,t,id,complete_cast,cc,movie_id,3.955208059764776e-07
comp_cast_type,cct1,id,complete_cast,cc,subject_id,0.25
comp_cast_type,cct2,id,complete_cast,cc,status_id,0.25
movie_link,ml,movie_id,movie_keyword,mk,movie_id,2.1236758163971607e-06
movie_link,ml,movie_id,movie_companies,mc,movie_id,1.8924554641452904e-06
movie_info,mi,movie_id,title,t,id,3.955208059764776e-07
title,t,id,complete_cast,cc,movie_id,3.955208059764776e-07
comp_cast_type,cct1,id,complete_cast,cc,subject_id,0.25
comp_cast_type,cct2,id,complete_cast,cc,status_id,0.25
movie_link,ml,movie_id,movie_keyword,mk,movie_id,2.1236758163971607e-06
movie_link,ml,movie_id,movie_companies,mc,movie_id,1.8924554641452904e-06
movie_keyword,mk,movie_id,movie_companies,mc,movie_id,2.9536652615568914e-06
movie_link,ml,movie_id,movie_info,mi,movie_id,1.9846184967384423e-06
movie_keyword,mk,movie_id,movie_companies,mc,movie_id,2.9536652615568914e-06
movie_link,ml,movie_id,movie_info,mi,movie_id,1.9846184967384423e-06
movie_keyword,mk,movie_id,movie_companies,mc,movie_id,2.9536652615568914e-06
movie_link,ml,movie_id,movie_info,mi,movie_id,1.9846184967384423e-06
movie_keyword,mk,movie_id,movie_info,mi,movie_id,3.507677202504587e-06
movie_keyword,mk,movie_id,movie_info,mi,movie_id,3.507677202504587e-06
movie_companies,mc,movie_id,movie_info,mi,movie_id,1.740489799746287e-06
movie_link,ml,movie_id,complete_cast,cc,movie_id,1.1966413861033834e-06
movie_companies,mc,movie_id,movie_info,mi,movie_id,1.740489799746287e-06
movie_link,ml,movie_id,complete_cast,cc,movie_id,1.1966413861033834e-06
movie_keyword,mk,movie_id,complete_cast,cc,movie_id,3.5530965978611866e-06
movie_companies,mc,movie_id,complete_cast,cc,movie_id,1.7381931624999429e-06
movie_keyword,mk,movie_id,complete_cast,cc,movie_id,3.5530965978611866e-06
movie_info,mi,movie_id,complete_cast,cc,movie_id,1.8406249932000583e-06
movie_companies,mc,movie_id,complete_cast,cc,movie_id,1.7381931624999429e-06
movie_info,mi,movie_id,complete_cast,cc,movie_id,1.8406249932000583e-06
movie_companies,mc,movie_id,movie_info,mi,movie_id,1.740489799746287e-06
movie_link,ml,movie_id,complete_cast,cc,movie_id,1.1966413861033834e-06
movie_keyword,mk,movie_id,movie_info,mi,movie_id,3.507677202504587e-06
movie_keyword,mk,movie_id,complete_cast,cc,movie_id,3.5530965978611866e-06
movie_companies,mc,movie_id,complete_cast,cc,movie_id,1.7381931624999429e-06
movie_info,mi,movie_id,complete_cast,cc,movie_id,1.8406249932000583e-06
movie_companies,mc,movie_id,movie_info,mi,movie_id,1.740489799746287e-06
movie_link,ml,movie_id,complete_cast,cc,movie_id,1.1966413861033834e-06
movie_keyword,mk,movie_id,complete_cast,cc,movie_id,3.5530965978611866e-06
movie_companies,mc,movie_id,complete_cast,cc,movie_id,1.7381931624999429e-06
movie_info,mi,movie_id,complete_cast,cc,movie_id,1.8406249932000583e-06
movie_keyword,mk,movie_id,movie_info,mi,movie_id,3.507677202504587e-06
movie_companies,mc,movie_id,movie_info,mi,movie_id,1.740489799746287e-06
movie_link,ml,movie_id,complete_cast,cc,movie_id,1.1966413861033834e-06
movie_keyword,mk,movie_id,complete_cast,cc,movie_id,3.5530965978611866e-06
movie_companies,mc,movie_id,complete_cast,cc,movie_id,1.7381931624999429e-06
movie_info,mi,movie_id,complete_cast,cc,movie_id,1.8406249932000583e-06
