file_name,num_relations,planning_time,execution_time,cost_dp,cost_geqo
22b_cn_mc_mi_mi_idx_t.sql,5,-1,-1,106613.22,105823.32
5b.sql,5,-1,-1,38930.81,38930.54
9d_an_chn_ci_n_rt.sql,5,-1,-1,157029.18,157029.18
21c_ct_lt_mc_ml_t.sql,5,-1,-1,5848.89,5848.89
19d_chn_ci_mc_rt_t.sql,5,-1,-1,161071.52,161071.52
11c_ct_k_mc_mk_t.sql,5,-1,-1,6278.39,6278.39
9d_an_chn_ci_mc_t.sql,5,-1,-1,999099.19,874689.47
29b_cc_cct1_cct2_mi_mk.sql,5,-1,-1,81841.77,81841.77
30a_cc_cct2_ci_mi_mk.sql,5,-1,-1,323405.5,321944.4
11d_cn_ct_mc_mk_t.sql,5,-1,-1,393332.94,396700.34
18a_ci_it1_mi_mi_idx_t.sql,5,-1,-1,342069.71,342069.71
27a_cc_cct2_lt_mc_ml.sql,5,-1,-1,1495.93,1495.93
23c_cc_cct1_mi_mk_t.sql,5,-1,-1,86000.33,86000.33
12c_cn_ct_mc_mi_mi_idx.sql,5,-1,-1,166663.43,166663.53
19a_ci_cn_mc_mi_n.sql,5,-1,-1,121589.72,121589.72
31c_ci_cn_mc_mi_idx_mk.sql,5,-1,-1,11567.09,11398.16
30c_cc_ci_it2_mi_idx_n.sql,5,-1,-1,22706.04,23521.55
4a.sql,5,-1,-1,16532.46,16532.46
19b_an_ci_mc_mi_t.sql,5,-1,-1,55654.82,55654.82
17b_ci_k_mc_mk_t.sql,5,-1,-1,3906.27,3906.27
24b_ci_it_mc_mi_mk.sql,5,-1,-1,272607.29,271734.25
27b_cc_cct1_lt_mk_ml.sql,5,-1,-1,4051.05,4051.05
12b_cn_ct_it1_mc_mi.sql,5,-1,-1,294448.59,294448.59
29c_ci_it_mi_rt_t.sql,5,-1,-1,250883.36,205064.53
22d_k_mc_mi_mi_idx_mk.sql,5,-1,-1,9102.99,9104.7
26c_cc_cct2_chn_ci_n.sql,5,-1,-1,394165.14,394165.59
1a.sql,5,-1,-1,19544.27,19544.27
29a_an_ci_k_mk_rt.sql,5,-1,-1,3859.44,3859.44
28b_it2_k_mc_mi_idx_mk.sql,5,-1,-1,7492.89,7492.89
19a_ci_cn_mc_n_rt.sql,5,-1,-1,121582.54,121582.54
21c_k_lt_mc_mk_ml.sql,5,-1,-1,3822.48,3822.48
29b_chn_ci_k_mk_rt.sql,5,-1,-1,3859.73,3859.73
13d_it_kt_mi_miidx_t.sql,5,-1,-1,22510.8,22510.8
17a_ci_k_mk_n_t.sql,5,-1,-1,4106.78,4106.78
24b_chn_ci_it_mi_mk.sql,5,-1,-1,265638.42,265636.4
30a_cc_cct1_ci_mi_idx_n.sql,5,-1,-1,246659.42,277916.29
31c_cn_mc_mi_mi_idx_t.sql,5,-1,-1,10855.96,10834.36
19d_an_chn_ci_n_rt.sql,5,-1,-1,157029.18,157029.18
25c_ci_k_mk_n_t.sql,5,-1,-1,11739.72,11669.0
25c_it2_k_mi_idx_mk_t.sql,5,-1,-1,11237.63,11237.63
11d_ct_k_mc_mk_ml.sql,5,-1,-1,4662.81,4662.81
26a_cc_cct1_cct2_ci_mi_idx.sql,5,-1,-1,37085.43,37085.43
29b_cc_cct2_cn_mc_t.sql,5,-1,-1,55549.89,55549.89
19d_ci_cn_mc_rt_t.sql,5,-1,-1,168351.56,181663.9
23b_cn_kt_mc_mk_t.sql,5,-1,-1,174318.55,198523.28
17e_ci_cn_k_mc_mk.sql,5,-1,-1,4025.61,4025.61
19d_an_ci_it_mi_t.sql,5,-1,-1,321300.34,321300.34
23b_ct_kt_mc_mk_t.sql,5,-1,-1,273178.56,216783.41
23c_it1_kt_mi_mk_t.sql,5,-1,-1,273166.3,273166.3
16c_ci_k_mc_mk_t.sql,5,-1,-1,3951.53,3853.99
27c_cc_cct2_k_mk_t.sql,5,-1,-1,3829.28,3829.79
31a_ci_cn_it1_mc_mi.sql,5,-1,-1,10715.06,10715.06
28c_ct_it2_mc_mi_mi_idx.sql,5,-1,-1,25416.94,25420.77
30c_cc_ci_it2_mi_idx_t.sql,5,-1,-1,20162.11,22144.01
8b_ci_cn_mc_rt_t.sql,5,-1,-1,43349.7,43349.7
16b_an_ci_cn_mc_mk.sql,5,-1,-1,15994398.31,18907933.85
23a_cc_cct1_cn_ct_mc.sql,5,-1,-1,50622.01,51028.81
30c_cc_cct1_k_mi_mk.sql,5,-1,-1,11437.68,11437.68
24a_cn_it_mc_mi_t.sql,5,-1,-1,259172.32,259172.32
30a_cc_cct1_cct2_k_mk.sql,5,-1,-1,11221.17,11221.17
17b_ci_cn_mc_n_t.sql,5,-1,-1,214670.15,214670.15
13b_cn_ct_mc_mi_miidx.sql,5,-1,-1,948429.1,948429.1
22a_k_mc_mi_mk_t.sql,5,-1,-1,7511.62,7542.39
19d_chn_ci_cn_mc_n.sql,5,-1,-1,632682.76,632682.76
21a_ct_k_mc_mk_ml.sql,5,-1,-1,3827.69,3827.69
27a_cc_k_mc_mk_ml.sql,5,-1,-1,3834.58,3834.58
14c_kt_mi_mi_idx_mk_t.sql,5,-1,-1,358666.93,369104.26
6a.sql,5,-1,-1,3920.02,3864.67
19d_an_ci_it_mi_rt.sql,5,-1,-1,322712.69,322712.69
28a_it1_k_mc_mi_mk.sql,5,-1,-1,7625.49,7625.51
15d_ct_it1_mc_mi_t.sql,5,-1,-1,242538.8,242514.78
28b_ct_it2_mc_mi_idx_t.sql,5,-1,-1,17785.84,17785.84
18a_it1_it2_mi_mi_idx_t.sql,5,-1,-1,34863.17,34863.17
1c.sql,5,-1,-1,19466.47,19466.47
26a_cc_cct2_chn_ci_mi_idx.sql,5,-1,-1,78364.8,81860.54
19a_chn_ci_mc_n_rt.sql,5,-1,-1,121582.7,121582.7
21c_cn_k_mc_mk_ml.sql,5,-1,-1,3838.2,3838.2
15a_cn_it1_mc_mi_t.sql,5,-1,-1,57576.19,57576.19
27c_cc_cct1_lt_mk_ml.sql,5,-1,-1,2413.6,2413.6
28c_cc_cct2_cn_mc_mi_idx.sql,5,-1,-1,44915.8,44915.8
31a_it2_k_mc_mi_idx_mk.sql,5,-1,-1,11238.25,11238.25
19a_an_ci_cn_mc_n.sql,5,-1,-1,83408.71,83408.71
30a_cc_cct1_it1_mi_mk.sql,5,-1,-1,243085.9,243085.9
15d_ct_k_mc_mk_t.sql,5,-1,-1,590003.38,525801.18
22b_it1_kt_mi_mk_t.sql,5,-1,-1,260544.73,260544.73
29c_chn_ci_cn_mc_t.sql,5,-1,-1,431074.61,431074.61
26b_cc_cct2_chn_ci_n.sql,5,-1,-1,394165.14,394165.59
26c_cc_ci_k_mi_idx_mk.sql,5,-1,-1,16442.02,16438.6
13a_cn_kt_mc_miidx_t.sql,5,-1,-1,66583.63,70153.33
25c_ci_mi_idx_mk_n_t.sql,5,-1,-1,889813.55,890617.28
11a_ct_k_mc_mk_ml.sql,5,-1,-1,3827.69,3827.69
29a_an_ci_it_mi_rt.sql,5,-1,-1,263857.98,263857.98
14b_k_kt_mi_mk_t.sql,5,-1,-1,4950.62,4950.62
12b_ct_it1_mc_mi_t.sql,5,-1,-1,56711.49,56711.49
26b_cc_cct1_cct2_mi_idx_mk.sql,5,-1,-1,12433.22,12433.22
23b_cc_cct1_kt_mc_t.sql,5,-1,-1,55071.89,56759.77
15a_at_it1_mc_mi_t.sql,5,-1,-1,50192.9,55908.49
22a_k_kt_mc_mk_t.sql,5,-1,-1,7494.1,7494.13
17e_ci_cn_mc_mk_n.sql,5,-1,-1,7652109.35,8343529.95
28b_cc_k_mc_mk_t.sql,5,-1,-1,7513.86,7513.86
13a_ct_it_mc_miidx_t.sql,5,-1,-1,22624.19,22624.19
29c_cn_mc_mi_mk_t.sql,5,-1,-1,417716.19,417716.19
11c_cn_k_mc_mk_ml.sql,5,-1,-1,4698.28,4698.28
33c_it2_lt_mc2_mi_idx2_ml.sql,5,-1,-1,10406.17,10406.17
31c_ci_cn_mc_mi_mk.sql,5,-1,-1,11073.21,11251.52
26a_chn_ci_k_mk_n.sql,5,-1,-1,19996.63,19996.63
14b_it1_k_mi_mi_idx_mk.sql,5,-1,-1,5130.75,5130.75
12b_cn_it2_mc_mi_idx_t.sql,5,-1,-1,19239.15,19238.06
15b_ct_k_mc_mk_t.sql,5,-1,-1,84854.11,75680.78
27a_cc_cct1_lt_mc_ml.sql,5,-1,-1,2329.31,2329.31
24a_an_ci_cn_mc_mk.sql,5,-1,-1,1303369.63,1303369.63
13c_it2_kt_mc_mi_t.sql,5,-1,-1,49846.22,49846.21
1d.sql,5,-1,-1,21023.14,20978.78
26c_chn_ci_it2_mi_idx_n.sql,5,-1,-1,45513.87,45513.87
22a_cn_ct_mc_mi_idx_t.sql,5,-1,-1,98300.52,98300.52
7b_ci_lt_ml_n_t.sql,5,-1,-1,8410.81,8410.81
16d_ci_k_mk_n_t.sql,5,-1,-1,3897.71,3897.71
30a_cc_cct2_ci_it1_mi.sql,5,-1,-1,192246.41,192256.32
11b_k_lt_mc_mk_ml.sql,5,-1,-1,3822.48,3822.48
16b_ci_k_mc_mk_t.sql,5,-1,-1,4161.68,4238.65
19a_an_chn_ci_mi_t.sql,5,-1,-1,543320.03,543320.13
23b_cc_kt_mc_mi_t.sql,5,-1,-1,73909.58,73909.58
24a_chn_ci_mc_n_rt.sql,5,-1,-1,152905.6,152905.6
11a_cn_ct_mc_ml_t.sql,5,-1,-1,8327.36,8327.36
2d.sql,5,-1,-1,3923.5,3858.7
23a_ct_kt_mc_mk_t.sql,5,-1,-1,273178.56,221713.77
23a_cc_ct_mc_mi_mk.sql,5,-1,-1,275603.5,277537.4
30a_cc_ci_k_mi_idx_mk.sql,5,-1,-1,11643.21,11643.21
9b_an_chn_ci_mc_rt.sql,5,-1,-1,140423.94,140423.94
29c_ci_k_mk_n_t.sql,5,-1,-1,3848.15,3848.15
28c_it2_mi_mi_idx_mk_t.sql,5,-1,-1,27740.02,27740.02
17a_ci_cn_mc_n_t.sql,5,-1,-1,1291999.81,1377617.32
22b_cn_ct_mc_mi_mk.sql,5,-1,-1,412915.93,412915.93
28c_cc_cct2_ct_mc_t.sql,5,-1,-1,46695.74,46695.84
27b_cc_cct1_lt_mi_ml.sql,5,-1,-1,8294.71,8294.71
22a_cn_ct_mc_mi_mi_idx.sql,5,-1,-1,269501.39,269918.9
31a_k_mc_mi_mk_t.sql,5,-1,-1,11702.8,11773.16
16b_ci_cn_mc_mk_n.sql,5,-1,-1,7652110.6,8343529.95
11b_cn_ct_lt_mc_ml.sql,5,-1,-1,5653.48,5653.48
15b_cn_it1_mc_mi_t.sql,5,-1,-1,6474.57,6474.57
27a_cc_cct1_lt_mk_ml.sql,5,-1,-1,4051.05,4051.05
24a_cn_k_mc_mk_t.sql,5,-1,-1,6270.1,6240.22
25c_it1_k_mi_mk_t.sql,5,-1,-1,11763.3,11763.3
29b_cc_cct1_cct2_ci_mi.sql,5,-1,-1,107970.19,107970.19
28a_cc_ct_k_mc_mk.sql,5,-1,-1,7518.86,7518.86
28b_cc_cct2_cn_mc_mk.sql,5,-1,-1,76086.34,76121.03
23c_cn_ct_mc_mi_mk.sql,5,-1,-1,277963.42,277963.42
2c.sql,5,-1,-1,3906.9,3858.67
30b_cc_cct1_ci_it1_mi.sql,5,-1,-1,243401.65,243426.25
22d_it1_kt_mi_mk_t.sql,5,-1,-1,307277.5,307277.4
28b_cc_it2_k_mi_idx_mk.sql,5,-1,-1,7492.79,7492.79
28a_cc_cct1_cct2_kt_t.sql,5,-1,-1,47073.76,47073.76
30c_cc_it1_k_mi_mk.sql,5,-1,-1,11763.27,11763.27
31b_ci_it1_mc_mi_n.sql,5,-1,-1,128720.92,128727.75
19c_ci_cn_mc_rt_t.sql,5,-1,-1,168351.56,181663.9
22d_k_mi_mi_idx_mk_t.sql,5,-1,-1,7609.55,7609.55
17b_ci_mc_mk_n_t.sql,5,-1,-1,221912.41,221912.51
24a_chn_ci_n_rt_t.sql,5,-1,-1,152889.06,152889.06
28c_cc_cct1_k_mi_idx_mk.sql,5,-1,-1,7511.65,7512.18
28b_cc_cct2_k_mk_t.sql,5,-1,-1,7516.07,7513.3
24b_chn_ci_mc_n_rt.sql,5,-1,-1,152905.6,152905.6
19b_ci_cn_mc_n_rt.sql,5,-1,-1,121531.07,121531.07
8a_ci_cn_mc_n1_t.sql,5,-1,-1,42011.43,41991.95
24b_chn_ci_mi_mk_t.sql,5,-1,-1,53073.6,53073.6
15b_at_cn_mc_mk_t.sql,5,-1,-1,6470.33,6470.33
22d_cn_ct_mc_mi_idx_mk.sql,5,-1,-1,1028868.05,1028868.05
8a_an1_ci_cn_mc_n1.sql,5,-1,-1,52217.64,52221.98
8d_ci_cn_mc_n1_rt.sql,5,-1,-1,762145.93,1002893.03
9a_chn_ci_n_rt_t.sql,5,-1,-1,121582.68,121582.68
31c_ci_mc_mi_mi_idx_n.sql,5,-1,-1,1058527.75,1023891.38
29a_cc_cct1_ci_k_mk.sql,5,-1,-1,3841.81,3841.81
26a_cc_cct1_cct2_chn_ci.sql,5,-1,-1,105872.21,105872.21
9d_chn_ci_n_rt_t.sql,5,-1,-1,157925.57,157925.57
31a_ci_it1_mi_n_t.sql,5,-1,-1,245135.02,244990.83
