aliases,cardinality
"('it1', 'mi')",101
"('it1', 'mi')",101
"('it1', 'mi', 't')",70
"('it1', 'mc', 'mi', 't')",72
"('cn', 'it1', 'mc', 'mi', 't')",26
"('cn', 'ct', 'it1', 'mc', 'mi', 't')",26
"('it1', 'mi', 't')",70
"('it1', 'mc', 'mi', 't')",72
"('cn', 'it1', 'mc', 'mi', 't')",26
"('cn', 'ct', 'it1', 'mc', 'mi', 'mk', 't')",47
"('cn', 'ct', 'it1', 'mc', 'mi', 't')",26
"('it1', 'mi')",101
"('it1', 'mi', 't')",70
"('cn', 'ct', 'it1', 'k', 'mc', 'mi', 'mk', 't')",47
"('it1', 'mc', 'mi', 't')",72
"('cn', 'ct', 'it1', 'mc', 'mi', 'mk', 't')",47
"('cn', 'it1', 'mc', 'mi', 't')",26
"('cn', 'ct', 'it1', 'mc', 'mi', 't')",26
"('cn', 'ct', 'it1', 'k', 'mc', 'mi', 'mk', 't')",47
"('cn', 'ct', 'it1', 'mc', 'mi', 'mk', 't')",47
"('cn', 'ct', 'it1', 'k', 'mc', 'mi', 'mk', 't')",47
"('at', 'cn', 'ct', 'it1', 'k', 'mc', 'mi', 'mk', 't')",7
"('at', 'cn', 'ct', 'it1', 'k', 'mc', 'mi', 'mk', 't')",7
"('at', 'cn', 'ct', 'it1', 'k', 'mc', 'mi', 'mk', 't')",7
"('at', 't')",250377
"('at', 'mc', 't')",1344227
"('at', 'cn', 'mc', 't')",480427
"('at', 'cn', 'mc', 'mi', 't')",2176
"('at', 't')",250377
"('at', 'mc', 't')",1344227
"('at', 'cn', 'it1', 'mc', 'mi', 't')",19
"('at', 'cn', 'mc', 't')",480427
"('at', 't')",250377
"('at', 'cn', 'mc', 'mi', 't')",2176
"('at', 'mc', 't')",1344227
"('at', 'cn', 'mc', 't')",480427
"('at', 'cn', 'it1', 'mc', 'mi', 't')",19
"('at', 'cn', 'it1', 'mc', 'mi', 'mk', 't')",34
"('at', 'cn', 'mc', 'mi', 't')",2176
"('at', 'cn', 'it1', 'mc', 'mi', 't')",19
"('at', 'cn', 'it1', 'mc', 'mi', 'mk', 't')",34
"('at', 'cn', 'it1', 'mc', 'mi', 'mk', 't')",34
"('at', 'cn', 'it1', 'k', 'mc', 'mi', 'mk', 't')",34
"('at', 'cn', 'it1', 'k', 'mc', 'mi', 'mk', 't')",34
"('at', 'cn', 'it1', 'k', 'mc', 'mi', 'mk', 't')",34
