aliases,cardinality
"('k', 'mk')",34
"('k', 'mk', 't')",13
"('k', 'mc', 'mk', 't')",13
"('cn', 'k', 'mc', 'mk', 't')",5
"('ci', 'cn', 'k', 'mc', 'mk', 't')",72
"('ci', 'cn', 'k', 'mc', 'mk', 'n', 't')",72
"('k', 'mk')",34
"('k', 'mk', 't')",13
"('k', 'mc', 'mk', 't')",13
"('k', 'mk')",34
"('k', 'mk', 't')",13
"('cn', 'k', 'mc', 'mk', 't')",5
"('k', 'mc', 'mk', 't')",13
"('an', 'ci', 'cn', 'k', 'mc', 'mk', 'n', 't')",16
"('cn', 'k', 'mc', 'mk', 't')",5
"('ci', 'cn', 'k', 'mc', 'mk', 't')",72
"('ci', 'cn', 'k', 'mc', 'mk', 't')",72
"('ci', 'cn', 'k', 'mc', 'mk', 'n', 't')",72
"('ci', 'cn', 'k', 'mc', 'mk', 'n', 't')",72
"('an', 'ci', 'cn', 'k', 'mc', 'mk', 'n', 't')",16
"('an', 'ci', 'cn', 'k', 'mc', 'mk', 'n', 't')",16
