episode,avg_rewards,loss,mrc,gmrc,smrc,mrt,gmrt,smrt,geqo_mrc,geqo_gmrc
0,1.2457057654507977,20,27695.937552852374,5.157924399546394,2.3610285950372925,1.0,1.0,1.0,181.2857461149168,2.7877482040902763
20,1.1125919270217681,20,320.8572489841773,9.075603184971365,3.489144728880779,1.0,1.0,1.0,826.4033011068088,2.536746682963078
40,1.1162524276107118,20,33.236399547273905,3.8682404434257185,3.0131099977100493,1.0,1.0,1.0,2.7329735661295103,1.653089701893536
60,0.9868056874759329,20,43.28482779085534,6.0754195427257836,4.119634244396223,1.0,1.0,1.0,1.380033569992083,1.196366952424452
80,1.040812746277211,20,7577.14242516784,6.820747670486807,3.1252422711985615,1.0,1.0,1.0,2.989602539818539,1.6548294962703307
100,1.107884330403391,20,1151.0614437276267,5.897865871059591,30.722121206099878,1.0,1.0,1.0,1.3842486253137223,1.2636180897991338
120,1.0475597183736454,20,42653.678334321914,10.24500097366932,2.7599680863495397,1.0,1.0,1.0,16.720868542794157,2.2279421531255807
140,0.9061980356902964,20,740.8457931034816,15.846502679000404,3.4909423933861463,1.0,1.0,1.0,5.414797089911785,1.4929052303135077
160,0.8890153491243178,20,43.42303648076419,7.547053683465306,34.419382610936445,1.0,1.0,1.0,8.791764764114358,1.5345139163297277
180,1.1244675487750202,20,26.535603712752742,3.614856290044695,5.743420803005972,1.0,1.0,1.0,5.657181778785642,2.00175640499065
200,1.007070432023547,20,145.65634965888682,8.182364133657437,4.041083307509335,1.0,1.0,1.0,19.05726152421867,1.9635607046798866
220,1.1623665073762441,20,13.52242981763193,3.258364816774475,1.9160989991113453,1.0,1.0,1.0,2.1311551098435,1.6692985987186428
240,0.9268739702029449,20,174.11331282536534,7.243054969409286,4.255512520309615,1.0,1.0,1.0,12.281636650281616,2.2924864993032297
260,1.0540415986058278,20,1222.2949036046732,14.496301284366254,11.422400150673065,1.0,1.0,1.0,10.710906917620905,1.657498818552593
280,0.758276635379331,20,278.08649863789805,10.982561304992931,1.855747289558029,1.0,1.0,1.0,10.209858927547874,1.511636157124176
300,1.022337031940596,20,21483.4804711207,12.694359737808325,15.49281108167046,1.0,1.0,1.0,824.5717000761894,2.058005226050218
320,1.2265896952666209,20,162.066701455412,3.697977776663127,1.079434425356897,1.0,1.0,1.0,1.3241490840078691,1.2101551907905175
340,1.1483518635503072,20,462.75160983255074,7.945137455739418,2.972508307813715,1.0,1.0,1.0,54.7762888899908,2.414403710486379
360,1.184549247324164,20,266.3770895557277,8.414963809673344,29.446969408891682,1.0,1.0,1.0,824.5247552872843,1.9117040665081326
380,0.8585150404508296,20,21364.5167921518,10.90801571972365,7.6636837893356535,1.0,1.0,1.0,2.444059074138297,1.4410264239729111
400,1.1162371196671013,20,188.15291591331365,5.4433098074348285,12.00101296825066,1.0,1.0,1.0,1.1440339303984284,1.120438814449366
420,0.7430395620682572,20,226.37420863201555,8.999420978126976,2.430498878452844,1.0,1.0,1.0,113.50656171885183,1.7654061557559049
440,0.7694658017957454,20,84.4350343466252,13.815679202918737,46.63012035416222,1.0,1.0,1.0,1.392001219521714,1.2578953957467947
460,0.8429396632295558,20,154.37864301267206,14.04947159525781,3.6930046701036874,1.0,1.0,1.0,1.9529975372664474,1.322639096724291
