aliases,cardinality
"('it', 'pi')",64
"('it', 'n', 'pi')",3
"('an', 'it', 'n', 'pi')",3
"('an', 'ci', 'it', 'n', 'pi')",353
"('an', 'ci')",27144680
"('an', 'n')",16157
"('an', 'pi')",98
"('ci', 'n')",912324
"('ci', 'pi')",8764
"('n', 'pi')",3
"('an', 'ci', 'n')",892404
"('an', 'ci', 'pi')",15021
"('an', 'it', 'pi')",98
"('an', 'n', 'pi')",3
"('ci', 'it', 'pi')",8764
"('ci', 'n', 'pi')",276
"('an', 'ci', 'it', 'pi')",15021
"('an', 'ci', 'n', 'pi')",353
"('ci', 'it', 'n', 'pi')",276
