aliases,cardinality
"('cn', 'mc')",1153798
"('cn', 'ct', 'mc')",552328
"('cn', 'ct', 'mc', 'miidx')",746064
"('cn', 'ct', 'mc', 'mi', 'miidx')",20338636
"('ct', 'mc')",1334883
"('mc', 'mi')",67371414
"('mc', 'miidx')",4073078
"('mi', 'miidx')",20885030
"('cn', 'mc', 'mi')",24420867
"('cn', 'mc', 'miidx')",1742698
"('ct', 'mc', 'mi')",19468013
"('ct', 'mc', 'miidx')",1753403
"('mc', 'mi', 'miidx')",177388547
"('cn', 'ct', 'mc', 'mi')",9128700
"('cn', 'mc', 'mi', 'miidx')",60276938
"('ct', 'mc', 'mi', 'miidx')",42553106
