aliases,cardinality
"('kt', 't')",274015
"('cc', 'kt', 't')",6234
"('cc', 'kt', 'mi', 't')",32
"('cc', 'kt', 'mi', 'mk', 't')",680
"('cc', 'mi')",40
"('cc', 'mk')",2171367
"('cc', 't')",38722
"('mi', 'mk')",4463
"('mi', 't')",1749
"('mk', 't')",1970380
"('cc', 'mi', 'mk')",741
"('cc', 'mi', 't')",37
"('cc', 'mk', 't')",468474
"('kt', 'mi', 't')",818
"('kt', 'mk', 't')",1053171
"('mi', 'mk', 't')",4309
"('cc', 'kt', 'mk', 't')",355758
"('cc', 'mi', 'mk', 't')",731
"('kt', 'mi', 'mk', 't')",2508
