aliases,cardinality
"('lt', 'ml')",2315
"('cc', 'lt', 'ml')",257
"('cc', 'lt', 'ml', 't')",247
"('cc', 'lt', 'mi', 'ml', 't')",270
"('cc', 'mi')",17295
"('cc', 'ml')",4849
"('cc', 't')",76832
"('mi', 'ml')",3315
"('mi', 't')",53162
"('ml', 't')",13627
"('cc', 'mi', 'ml')",350
"('cc', 'mi', 't')",9506
"('cc', 'ml', 't')",3637
"('lt', 'mi', 'ml')",2226
"('lt', 'ml', 't')",1332
"('mi', 'ml', 't')",1503
"('cc', 'lt', 'mi', 'ml')",270
"('cc', 'mi', 'ml', 't')",328
"('lt', 'mi', 'ml', 't')",1027
