aliases,cardinality
"('cn', 'mc')",278
"('at', 'cn', 'mc')",27
"('at', 'cn', 'mc', 't')",26
"('at', 'cn', 'mc', 'mk', 't')",292
"('at', 'mc')",20965
"('at', 'mk')",6547234
"('at', 't')",45153
"('mc', 'mk')",457967
"('mc', 't')",38544
"('mk', 't')",1128756
"('at', 'mc', 'mk')",686947
"('at', 'mc', 't')",7108
"('at', 'mk', 't')",966947
"('cn', 'mc', 'mk')",498
"('cn', 'mc', 't')",254
"('mc', 'mk', 't')",205731
"('at', 'cn', 'mc', 'mk')",292
"('at', 'mc', 'mk', 't')",191663
"('cn', 'mc', 'mk', 't')",431
