aliases,cardinality
"('cn', 'mc')",1814
"('cn', 'mc', 'mi')",1432
"('cn', 'mc', 'mi', 't')",1432
"('cn', 'mc', 'mi', 'mi_idx', 't')",3915
"('mc', 'mi')",730070
"('mc', 'mi_idx')",4073078
"('mc', 't')",2609129
"('mi', 'mi_idx')",315079
"('mi', 't')",188971
"('mi_idx', 't')",1380035
"('cn', 'mc', 'mi_idx')",4370
"('cn', 'mc', 't')",1814
"('mc', 'mi', 'mi_idx')",1902605
"('mc', 'mi', 't')",730070
"('mc', 'mi_idx', 't')",4073078
"('mi', 'mi_idx', 't')",315079
"('cn', 'mc', 'mi', 'mi_idx')",3915
"('cn', 'mc', 'mi_idx', 't')",4370
"('mc', 'mi', 'mi_idx', 't')",1902605
