aliases,cardinality
"('mi', 't')",6
"('ci', 'mi', 't')",69
"('chn', 'ci', 'mi', 't')",60
"('chn', 'ci', 'it', 'mi', 't')",60
"('chn', 'ci')",650505
"('chn', 'ci')",650505
"('ci', 'mi')",38392
"('ci', 't')",71
"('it', 'mi')",69478
"('ci', 'mi')",38392
"('ci', 't')",71
"('it', 'mi')",69478
"('chn', 'ci', 'mi')",36325
"('chn', 'ci', 't')",61
"('chn', 'ci', 'mi')",36325
"('chn', 'ci', 't')",61
"('ci', 'it', 'mi')",38392
"('it', 'mi', 't')",6
"('chn', 'ci', 'it', 'mi')",36325
"('ci', 'it', 'mi', 't')",69
"('ci', 'it', 'mi')",38392
"('it', 'mi', 't')",6
"('chn', 'ci', 'it', 'mi')",36325
"('ci', 'it', 'mi', 't')",69
