aliases,cardinality
"('cn', 'mc')",1814
"('cn', 'mc', 'mi')",1432
"('ci', 'cn', 'mc', 'mi')",1092
"('ci', 'cn', 'mc', 'mi', 'mk')",116171
"('ci', 'cn', 'mc')",1454
"('ci', 'mc')",1557234
"('ci', 'mi')",95066
"('ci', 'mk')",2619220
"('mc', 'mi')",730070
"('mc', 'mk')",34863638
"('mi', 'mk')",2615151
"('ci', 'mc', 'mi')",451337
"('ci', 'mc', 'mk')",24878483
"('ci', 'mi', 'mk')",1754421
"('cn', 'mc', 'mk')",72721
"('mc', 'mi', 'mk')",37984394
"('ci', 'cn', 'mc', 'mk')",67213
"('ci', 'mc', 'mi', 'mk')",29492662
"('cn', 'mc', 'mi', 'mk')",120462
