aliases,cardinality
"('ci', 'rt')",2728943
"('ci', 'n1', 'rt')",2728943
"('a1', 'ci', 'n1', 'rt')",2343724
"('a1', 'ci', 'mc', 'n1', 'rt')",4961427
"('a1', 'ci')",36417493
"('a1', 'n1')",901343
"('ci', 'mc')",80274241
"('ci', 'n1')",36244344
"('a1', 'ci', 'mc')",87239860
"('a1', 'ci', 'n1')",36417493
"('a1', 'ci', 'rt')",2343724
"('ci', 'mc', 'n1')",80274241
"('ci', 'mc', 'rt')",4450853
"('a1', 'ci', 'mc', 'n1')",87239860
"('a1', 'ci', 'mc', 'rt')",4961427
"('ci', 'mc', 'n1', 'rt')",4450853
