aliases,cardinality
"('mi', 't')",6
"('mc', 'mi', 't')",4
"('it', 'mc', 'mi', 't')",4
"('ci', 'it', 'mc', 'mi', 't')",100
"('it', 'mi', 't')",6
"('ci', 'mc')",107035
"('ci', 'mi')",38392
"('ci', 't')",71
"('it', 'mi')",69478
"('mc', 'mi')",25503
"('mc', 't')",4
"('ci', 'it', 'mi')",38392
"('ci', 'mc', 'mi')",25272
"('ci', 'mc', 't')",100
"('ci', 'mi', 't')",69
"('it', 'mc', 'mi')",25503
"('ci', 'it', 'mc', 'mi')",25272
"('ci', 'it', 'mi', 't')",69
"('ci', 'mc', 'mi', 't')",100
