aliases,cardinality
"('mi', 't')",444937
"('mc', 'mi', 't')",850071
"('cn', 'mc', 'mi', 't')",411344
"('cn', 'mc', 'mi', 'mk', 't')",10127766
"('cn', 'mc')",1153798
"('mc', 'mi')",890243
"('mc', 'mk')",34863638
"('mc', 't')",922445
"('mi', 'mk')",2897272
"('mk', 't')",1779638
"('cn', 'mc', 'mi')",424856
"('cn', 'mc', 'mk')",12177631
"('cn', 'mc', 't')",358269
"('mc', 'mi', 'mk')",43541939
"('mc', 'mk', 't')",15402914
"('mi', 'mk', 't')",2726362
"('cn', 'mc', 'mi', 'mk')",10955736
"('cn', 'mc', 'mk', 't')",4180010
"('mc', 'mi', 'mk', 't')",40621102
