aliases,cardinality
"('k', 'mk')",9696
"('k', 'mk', 't')",495
"('ci', 'k', 'mk', 't')",2625
"('ci', 'k', 'mc', 'mk', 't')",15373
"('ci', 'mc')",1548085
"('ci', 'mk')",4575483
"('ci', 't')",94597
"('mc', 'mk')",34863638
"('mc', 't')",294635
"('mk', 't')",299534
"('ci', 'k', 'mk')",32840
"('ci', 'mc', 'mk')",41655338
"('ci', 'mc', 't')",178453
"('ci', 'mk', 't')",386328
"('k', 'mc', 'mk')",98921
"('mc', 'mk', 't')",2116623
"('ci', 'k', 'mc', 'mk')",251901
"('ci', 'mc', 'mk', 't')",3315613
"('k', 'mc', 'mk', 't')",5566
