aliases,cardinality
"('k', 'mk')",37091
"('k', 'mk', 't')",5606
"('k', 'mc', 'mk', 't')",5186
"('k', 'mc', 'mi', 'mk', 't')",5117
"('k', 'mc', 'mk')",86022
"('mc', 'mi')",220217
"('mc', 'mk')",9292367
"('mc', 't')",29178
"('mi', 'mk')",3898410
"('mi', 't')",167540
"('mk', 't')",684042
"('k', 'mi', 'mk')",32952
"('mc', 'mi', 'mk')",12779528
"('mc', 'mi', 't')",15648
"('mc', 'mk', 't')",631838
"('mi', 'mk', 't')",442187
"('k', 'mc', 'mi', 'mk')",119379
"('k', 'mi', 'mk', 't')",3787
"('mc', 'mi', 'mk', 't')",601262
