aliases,cardinality
"('cn', 'mc')",99
"('cn', 'mc', 't')",4
"('cn', 'mc', 'mk', 't')",83
"('ci', 'cn', 'mc', 'mk', 't')",1841
"('ci', 'cn', 'mc', 't')",57
"('ci', 'mc')",1548085
"('ci', 'mk')",4575483
"('ci', 't')",68
"('mc', 'mk')",34863638
"('mc', 't')",36
"('mk', 't')",88
"('ci', 'cn', 'mc')",1272
"('ci', 'mc', 'mk')",41655338
"('ci', 'mc', 't')",912
"('ci', 'mk', 't')",1886
"('cn', 'mc', 'mk')",2756
"('mc', 'mk', 't')",1211
"('ci', 'cn', 'mc', 'mk')",77762
"('ci', 'mc', 'mk', 't')",38060
