aliases,cardinality
"('n', 'pi')",3
"('an', 'n', 'pi')",3
"('an', 'ci', 'n', 'pi')",353
"('an', 'ci', 'ml', 'n', 'pi')",176
"('an', 'ci')",27144680
"('an', 'n')",16157
"('an', 'pi')",98
"('ci', 'ml')",1845530
"('ci', 'n')",912324
"('ci', 'pi')",8764
"('an', 'ci', 'ml')",1642879
"('an', 'ci', 'n')",892404
"('an', 'ci', 'pi')",15021
"('ci', 'ml', 'n')",47478
"('ci', 'ml', 'pi')",787
"('ci', 'n', 'pi')",276
"('an', 'ci', 'ml', 'n')",52049
"('an', 'ci', 'ml', 'pi')",1175
"('ci', 'ml', 'n', 'pi')",110
