aliases,cardinality
"('mi', 't')",1749
"('mi', 'mk', 't')",4309
"('at', 'mi', 'mk', 't')",1024
"('at', 'k', 'mi', 'mk', 't')",1024
"('at', 'mi', 't')",111
"('at', 'mi')",116
"('at', 'mk')",6547234
"('at', 't')",85960
"('k', 'mk')",4523930
"('mi', 'mk')",4429
"('mk', 't')",1970380
"('at', 'k', 'mk')",6547234
"('at', 'mi', 'mk')",1124
"('at', 'mk', 't')",1764494
"('k', 'mi', 'mk')",4429
"('k', 'mk', 't')",1970380
"('at', 'k', 'mi', 'mk')",1124
"('at', 'k', 'mk', 't')",1764494
"('k', 'mi', 'mk', 't')",4309
