aliases,cardinality
"('cc', 'cct1')",49145
"('cc', 'cct1', 'cct2')",42432
"('cc', 'cct1', 'cct2', 'mc')",20603
"('cc', 'cct1', 'cct2', 'mc', 't')",11871
"('cc', 'cct1', 'mc')",29391
"('cc', 'cct1', 'mc', 't')",13005
"('cc', 'cct2')",110494
"('cc', 'mc')",103121
"('cc', 't')",38722
"('mc', 't')",240654
"('cc', 'cct1', 't')",15165
"('cc', 'cct2', 'mc')",61743
"('cc', 'cct2', 't')",36639
"('cc', 'mc', 't')",57242
"('cc', 'cct1', 'cct2', 't')",14943
"('cc', 'cct2', 'mc', 't')",41348
