aliases,cardinality
"('cn', 'mc')",1343936
"('cn', 'ct', 'mc')",1343936
"('cn', 'ct', 'mc', 'mi_idx')",2084532
"('cn', 'ct', 'mc', 'mi_idx', 'mk')",61745843
"('ct', 'mc')",2609129
"('mc', 'mi_idx')",3956983
"('mc', 'mk')",34863638
"('mi_idx', 'mk')",10130503
"('cn', 'mc', 'mi_idx')",2084532
"('cn', 'mc', 'mk')",21669716
"('ct', 'mc', 'mi_idx')",3956983
"('ct', 'mc', 'mk')",34863638
"('mc', 'mi_idx', 'mk')",97832786
"('cn', 'ct', 'mc', 'mk')",21669716
"('cn', 'mc', 'mi_idx', 'mk')",61745843
"('ct', 'mc', 'mi_idx', 'mk')",97832786
