aliases,cardinality
"('mk', 't')",299534
"('ci', 'mk', 't')",386328
"('chn', 'ci', 'mk', 't')",364915
"('chn', 'ci', 'mc', 'mk', 't')",3231763
"('chn', 'ci')",801259
"('ci', 'mc')",1548085
"('ci', 'mk')",4575483
"('ci', 't')",94597
"('mc', 'mk')",34863638
"('mc', 't')",294635
"('chn', 'ci', 'mc')",1405362
"('chn', 'ci', 'mk')",4220470
"('chn', 'ci', 't')",87110
"('ci', 'mc', 'mk')",41655338
"('ci', 'mc', 't')",178453
"('mc', 'mk', 't')",2116623
"('chn', 'ci', 'mc', 'mk')",37745561
"('chn', 'ci', 'mc', 't')",168110
"('ci', 'mc', 'mk', 't')",3315613
