aliases,cardinality
"('at', 'mc')",20965
"('at', 'mc', 'mi')",76
"('at', 'it1', 'mc', 'mi')",76
"('at', 'it1', 'mc', 'mi', 'mk')",526
"('at', 'mi')",116
"('at', 'mk')",6547234
"('it1', 'mi')",1771
"('mc', 'mi')",699
"('mc', 'mk')",457967
"('mi', 'mk')",4429
"('at', 'it1', 'mi')",116
"('at', 'mc', 'mk')",686947
"('at', 'mi', 'mk')",1124
"('it1', 'mc', 'mi')",699
"('it1', 'mi', 'mk')",4429
"('mc', 'mi', 'mk')",1602
"('at', 'it1', 'mi', 'mk')",1124
"('at', 'mc', 'mi', 'mk')",526
"('it1', 'mc', 'mi', 'mk')",1602
