aliases,cardinality
"('ct', 'mc')",1196185
"('ct', 'mc', 't')",1015221
"('cn', 'ct', 'mc', 't')",996623
"('cn', 'ct', 'mc', 'mk', 't')",22500723
"('ct', 'mc', 'mk', 't')",22848431
"('cn', 'mc')",1309854
"('mc', 'mk')",28144418
"('mc', 't')",1139554
"('mk', 't')",3961736
"('cn', 'ct', 'mc')",1174202
"('cn', 'mc', 'mk')",27664875
"('cn', 'mc', 't')",1115946
"('ct', 'mc', 'mk')",25699259
"('mc', 'mk', 't')",25153190
"('cn', 'ct', 'mc', 'mk')",25320459
"('cn', 'mc', 'mk', 't')",24707165
