aliases,cardinality
"('cn', 'mc')",248388
"('cn', 'mc', 't')",1044
"('cn', 'mc', 'mi_idx', 't')",1355
"('cn', 'mc', 'mi', 'mi_idx', 't')",507
"('mc', 'mi')",220217
"('mc', 'mi_idx')",525073
"('mc', 't')",1809
"('mi', 'mi_idx')",620108
"('mi', 't')",132556
"('mi_idx', 't')",159144
"('cn', 'mc', 'mi')",173145
"('cn', 'mc', 'mi_idx')",457523
"('mc', 'mi', 'mi_idx')",438229
"('mc', 'mi', 't')",577
"('mc', 'mi_idx', 't')",2081
"('mi', 'mi_idx', 't')",73577
"('cn', 'mc', 'mi', 'mi_idx')",378433
"('cn', 'mc', 'mi', 't')",282
"('mc', 'mi', 'mi_idx', 't')",925
