aliases,cardinality
"('cc', 'cct2')",110494
"('cc', 'cct2', 'mc')",125186
"('cc', 'cct2', 'mc', 't')",80792
"('cc', 'cct2', 'mc', 'mk', 't')",1127748
"('cc', 'cct2', 't')",61407
"('cc', 'mc')",159355
"('cc', 'mk')",2171367
"('cc', 't')",76832
"('mc', 'mk')",6719220
"('mc', 't')",546306
"('mk', 't')",2011296
"('cc', 'cct2', 'mk')",1147562
"('cc', 'mc', 'mk')",3542504
"('cc', 'mc', 't')",106445
"('cc', 'mk', 't')",1239282
"('mc', 'mk', 't')",3185481
"('cc', 'cct2', 'mc', 'mk')",2008324
"('cc', 'cct2', 'mk', 't')",609630
"('cc', 'mc', 'mk', 't')",2205923
