aliases,cardinality
"('cn', 'mc')",135
"('cn', 'mc', 'mi')",95
"('ci', 'cn', 'mc', 'mi')",88
"('ci', 'cn', 'mc', 'mi', 'mk')",12202
"('ci', 'mc')",7151
"('ci', 'mi')",40193
"('ci', 'mk')",2619220
"('mc', 'mi')",4039
"('mc', 'mk')",762113
"('mi', 'mk')",1017014
"('ci', 'cn', 'mc')",100
"('ci', 'mc', 'mi')",3406
"('ci', 'mc', 'mk')",688716
"('ci', 'mi', 'mk')",695376
"('cn', 'mc', 'mk')",15662
"('mc', 'mi', 'mk')",463895
"('ci', 'cn', 'mc', 'mk')",13671
"('ci', 'mc', 'mi', 'mk')",398757
"('cn', 'mc', 'mi', 'mk')",12404
