aliases,cardinality
"('cc', 'cct2')",24592
"('cc', 'cct2', 'mi')",5804
"('cc', 'cct2', 'ci', 'mi')",3934
"('cc', 'cct2', 'ci', 'mi', 'mk')",290654
"('cc', 'mi')",13659
"('cc', 'ci')",116781
"('cc', 'mk')",2171367
"('ci', 'mi')",40193
"('ci', 'mk')",2619220
"('mi', 'mk')",1017014
"('cc', 'cct2', 'ci')",15537
"('cc', 'cct2', 'mk')",1023805
"('cc', 'ci', 'mi')",9176
"('cc', 'ci', 'mk')",1516871
"('cc', 'mi', 'mk')",736577
"('ci', 'mi', 'mk')",695376
"('cc', 'cct2', 'ci', 'mk')",666710
"('cc', 'cct2', 'mi', 'mk')",423616
"('cc', 'ci', 'mi', 'mk')",525429
