aliases,cardinality
"('k', 'mk')",10544
"('k', 'mk', 'ml')",251
"('k', 'mi', 'mk', 'ml')",118
"('k', 'mc', 'mi', 'mk', 'ml')",749
"('mc', 'mi')",121436
"('mc', 'mk')",6719220
"('mc', 'ml')",43026
"('mi', 'mk')",449506
"('mi', 'ml')",1987
"('mk', 'ml')",288192
"('k', 'mc', 'mk')",14331
"('k', 'mi', 'mk')",904
"('mc', 'mi', 'mk')",991385
"('mc', 'mi', 'ml')",4601
"('mc', 'mk', 'ml')",732182
"('mi', 'mk', 'ml')",34373
"('k', 'mc', 'mi', 'mk')",1672
"('k', 'mc', 'mk', 'ml')",1173
"('mc', 'mi', 'mk', 'ml')",81608
