aliases,cardinality
"('cn', 'mc')",248388
"('cn', 'ct', 'mc')",248388
"('cn', 'ct', 'mc', 'mi')",173145
"('cn', 'ct', 'mc', 'mi', 'mi_idx')",378433
"('cn', 'mc', 'mi')",173145
"('cn', 'mc', 'mi', 'mi_idx')",378433
"('ct', 'mc')",303271
"('mc', 'mi')",220217
"('mc', 'mi_idx')",525073
"('mi', 'mi_idx')",620108
"('cn', 'mc', 'mi_idx')",457523
"('ct', 'mc', 'mi')",220217
"('ct', 'mc', 'mi_idx')",525073
"('mc', 'mi', 'mi_idx')",438229
"('cn', 'ct', 'mc', 'mi_idx')",457523
"('ct', 'mc', 'mi', 'mi_idx')",438229
