aliases,cardinality
"('k', 'mk')",76714
"('k', 'mi', 'mk')",35720
"('k', 'mi', 'mk', 't')",35720
"('ci', 'k', 'mi', 'mk', 't')",23628
"('k', 'mk', 't')",76714
"('ci', 'mi')",40193
"('ci', 'mk')",2619220
"('ci', 't')",1244716
"('mi', 'mk')",1017014
"('mi', 't')",73047
"('mk', 't')",4523930
"('ci', 'k', 'mk')",43178
"('ci', 'mi', 'mk')",695376
"('ci', 'mi', 't')",40193
"('ci', 'mk', 't')",2619220
"('mi', 'mk', 't')",1017014
"('ci', 'k', 'mi', 'mk')",23628
"('ci', 'k', 'mk', 't')",43178
"('ci', 'mi', 'mk', 't')",695376
