aliases,cardinality
"('cc', 'cct2')",24592
"('cc', 'cct1', 'cct2')",17879
"('cc', 'cct1', 'cct2', 'mi_idx')",51249
"('cc', 'cct1', 'cct2', 'ci', 'mi_idx')",33760
"('cc', 'cct1')",85941
"('cc', 'ci')",116781
"('cc', 'mi_idx')",286599
"('ci', 'mi_idx')",1000868
"('cc', 'cct1', 'ci')",70648
"('cc', 'cct1', 'mi_idx')",184902
"('cc', 'cct2', 'ci')",15537
"('cc', 'cct2', 'mi_idx')",71011
"('cc', 'ci', 'mi_idx')",239208
"('cc', 'cct1', 'cct2', 'ci')",11627
"('cc', 'cct1', 'ci', 'mi_idx')",152988
"('cc', 'cct2', 'ci', 'mi_idx')",45387
