aliases,cardinality
"('cn', 'mc')",1814
"('cn', 'mc', 'mi')",746
"('ci', 'cn', 'mc', 'mi')",608
"('ci', 'cn', 'mc', 'mi', 'mk')",60375
"('ci', 'mc')",1557234
"('ci', 'mi')",40193
"('ci', 'mk')",2619220
"('mc', 'mi')",279951
"('mc', 'mk')",34863638
"('mi', 'mk')",1017014
"('ci', 'cn', 'mc')",1454
"('ci', 'mc', 'mi')",179051
"('ci', 'mc', 'mk')",24878483
"('ci', 'mi', 'mk')",695376
"('cn', 'mc', 'mk')",72721
"('mc', 'mi', 'mk')",14834277
"('ci', 'cn', 'mc', 'mk')",67213
"('ci', 'mc', 'mi', 'mk')",11209983
"('cn', 'mc', 'mi', 'mk')",57895
