aliases,cardinality
"('ci', 'mc')",285547
"('ci', 'mc')",285547
"('ci', 'mc')",285547
"('ci', 'mc')",285547
"('chn', 'ci', 'mc')",139499
"('ci', 'mc')",285547
"('chn', 'ci', 'mc')",139499
"('chn', 'ci', 'mc')",139499
"('chn', 'ci', 'mc')",139499
"('chn', 'ci', 'mc')",139499
"('an', 'chn', 'ci', 'mc')",329275
"('an', 'chn', 'ci', 'mc')",329275
"('an', 'chn', 'ci', 'mc')",329275
"('an', 'chn', 'ci', 'mc')",329275
"('an', 'chn', 'ci', 'mc')",329275
"('ci', 'mc')",285547
"('chn', 'ci', 'mc')",139499
"('an', 'chn', 'ci', 'mc')",329275
