aliases,cardinality
"('cn', 'mc')",932504
"('cn', 'mc')",932504
"('ci', 'cn', 'mc')",34965023
"('ci', 'cn', 'mc')",34965023
"('cn', 'mc')",932504
"('ci', 'cn', 'mc', 'n1')",34965023
"('ci', 'cn', 'mc', 'n1')",34965023
"('ci', 'cn', 'mc')",34965023
"('ci', 'cn', 'mc', 'n1')",34965023
"('cn', 'mc')",932504
"('ci', 'cn', 'mc')",34965023
"('ci', 'cn', 'mc', 'n1')",34965023
"('cn', 'mc')",932504
"('ci', 'cn', 'mc')",34965023
"('ci', 'cn', 'mc', 'n1')",34965023
"('cn', 'mc')",932504
"('ci', 'cn', 'mc')",34965023
"('ci', 'cn', 'mc', 'n1')",34965023
