aliases,cardinality
"('mi', 'mi_idx')",241948
"('mi', 'mi_idx')",241948
"('ci', 'mi', 'mi_idx')",297866
"('mi', 'mi_idx')",241948
"('ci', 'mi', 'mi_idx')",297866
"('ci', 'mi', 'mi_idx', 'mk')",7757849
"('ci', 'mi', 'mi_idx')",297866
"('mi', 'mi_idx')",241948
"('ci', 'mi', 'mi_idx')",297866
"('ci', 'mi', 'mi_idx', 'mk')",7757849
"('ci', 'mi', 'mi_idx', 'mk')",7757849
"('ci', 'mi', 'mi_idx', 'mk')",7757849
"('mi', 'mi_idx')",241948
"('ci', 'mi', 'mi_idx')",297866
"('ci', 'mi', 'mi_idx', 'mk')",7757849
"('mi', 'mi_idx')",241948
"('ci', 'mi', 'mi_idx')",297866
"('ci', 'mi', 'mi_idx', 'mk')",7757849
