aliases,cardinality
"('k', 'mk')",37091
"('k', 'mk', 't')",9739
"('k', 'kt', 'mk', 't')",8073
"('k', 'kt', 'mi_idx', 'mk', 't')",17891
"('it2', 'k', 'kt', 'mi_idx', 'mk', 't')",5949
"('it2', 'k', 'kt', 'mi', 'mi_idx', 'mk', 't')",4709
"('it1', 'it2', 'k', 'kt', 'mi', 'mi_idx', 'mk', 't')",4115
"('it1', 'it2', 'k', 'kt', 'mc', 'mi', 'mi_idx', 'mk', 't')",64848
"('cn', 'it1', 'it2', 'k', 'kt', 'mc', 'mi', 'mi_idx', 'mk', 't')",46281
"('cn', 'ct', 'it1', 'it2', 'k', 'kt', 'mc', 'mi', 'mi_idx', 'mk', 't')",46281
"('mk', 't')",1253091
"('mi_idx', 'mk', 't')",2472463
"('mi', 'mi_idx', 'mk', 't')",1908608
"('mc', 'mi', 'mi_idx', 'mk', 't')",28519929
"('kt', 'mc', 'mi', 'mi_idx', 'mk', 't')",26798986
"('k', 'kt', 'mc', 'mi', 'mi_idx', 'mk', 't')",226666
"('it2', 'k', 'kt', 'mc', 'mi', 'mi_idx', 'mk', 't')",75016
"('ct', 'it1', 'it2', 'k', 'kt', 'mc', 'mi', 'mi_idx', 'mk', 't')",64848
"('mi_idx', 't')",417391
"('mi_idx', 'mk')",10130503
"('mi', 'mk', 't')",891611
"('mi', 't')",266130
"('mi', 'mk')",4094443
"('mi', 'mi_idx', 't')",220783
"('mi', 'mi_idx')",760767
"('mi', 'mi_idx', 'mk')",10249732
"('mc', 'mi_idx', 'mk', 't')",28892360
"('mc', 'mk', 't')",10326085
"('mc', 't')",829639
"('mc', 'mk')",34863638
"('mc', 'mi_idx', 't')",1241186
"('mc', 'mi_idx')",3956983
"('mc', 'mi_idx', 'mk')",97832786
"('mc', 'mi', 'mk', 't')",10023683
"('mc', 'mi', 't')",479847
"('mc', 'mi')",1697118
"('mc', 'mi', 'mk')",51969023
"('mc', 'mi', 'mi_idx', 't')",851443
"('mc', 'mi', 'mi_idx')",3311013
"('mc', 'mi', 'mi_idx', 'mk')",151250471
"('kt', 'mi', 'mi_idx', 'mk', 't')",1588788
"('kt', 'mi_idx', 'mk', 't')",2062926
"('kt', 'mk', 't')",962609
"('kt', 't')",893209
"('kt', 'mi_idx', 't')",318957
"('kt', 'mi', 'mk', 't')",665722
"('kt', 'mi', 't')",182758
