file_name,num_relations,planning_time,execution_time,cost
16a_an_ci_k_mk_n.sql,5,-1,-1,5035.47
29c_an_cc_cct1_cct2_ci_it_it3_k_mi_mk_pi_rt_t.sql,13,-1,-1,3872.93
31c_ci_it1_mi_n.sql,4,-1,-1,279135.76
31c_ci_it2_k_mi_idx_mk.sql,5,-1,-1,11244.16
31c_ci_cn_it1_mc_mi_mk_t.sql,7,-1,-1,10785.85
28b_cc_cct2_cn_mc.sql,4,-1,-1,47749.21
23a_cc_cct1_kt_t.sql,4,-1,-1,53387.93
29b_an_cc_cct1_cct2_chn_ci_it_mi_mk_n_rt_t.sql,12,-1,-1,22001.61
24a_an_chn_ci_k_mc_mk_n.sql,7,-1,-1,6399.24
29b_an_ci_cn_mc_pi_rt_t.sql,7,-1,-1,55561.14
7a_an_ci_it_lt_ml_pi.sql,6,-1,-1,56119.46
24b_an_ci_mi_n.sql,4,-1,-1,150266.15
23a_cc_cct1_cn_kt_mc_mi_t.sql,7,-1,-1,58198.97
29a_chn_ci_it_mi.sql,4,-1,-1,56391.55
27c_cc_cn_ct_k_lt_mc_mi_mk_ml.sql,9,-1,-1,3827.12
22b_cn_mc_mi_mi_idx_t.sql,5,-1,-1,106613.22
32b_lt_mk_ml_t1_t2.sql,5,-1,-1,92194.65
33a_cn1_cn2_it1_kt1_lt_mc1_mc2_mi_idx1_ml_t1.sql,10,-1,-1,3472.07
20b_cc_chn_ci_k_mk_n_t.sql,7,-1,-1,15171.51
13c_ct_it_kt_mc_miidx_t.sql,6,-1,-1,19237.98
16b_ci_cn_mc_n_t.sql,5,-1,-1,2806199.64
29a_ci_k_mk_n_pi_rt_t.sql,7,-1,-1,3827.75
28b_ct_k_mc_mk.sql,4,-1,-1,7500.78
31b_ci_cn_mc_mi_idx_mk_t.sql,6,-1,-1,10337.8
9b_an_chn_ci_cn_mc_n_rt.sql,7,-1,-1,83397.58
15a_at_k_mc_mk.sql,4,-1,-1,83287.89
16c_an_ci_k_mk_n.sql,5,-1,-1,5026.06
33c_cn1_it1_kt1_lt_mc1_mc2_mi_idx1_ml_t1.sql,9,-1,-1,3310.36
28b_cc_it1_it2_k_mi_mi_idx_mk.sql,7,-1,-1,7497.78
24a_an_ci_it_k_mi_mk_t.sql,7,-1,-1,6269.34
9a_an_chn_ci_n_rt_t.sql,6,-1,-1,83408.53
28a_cc_cn_ct_it2_k_kt_mc_mi_mi_idx_mk_t.sql,11,-1,-1,7507.92
29c_an_cc_cct1_cct2_chn_ci_it_mi_mk_n_t.sql,11,-1,-1,35718.22
21c_ct_k_mc_mi_mk_t.sql,6,-1,-1,3880.58
29c_an_chn_ci_n_rt_t.sql,6,-1,-1,146339.35
33c_cn1_lt_mc1_mc2_ml.sql,5,-1,-1,28553.29
24b_an_ci_it_k_mi_mk.sql,6,-1,-1,7774.85
